observed	expexted
0.969531494834912	0.718890452095038
1.00517076965032	0.841042934544146
1.07324849806179	1.06624342157839
1.06860627485198	1.18238186787957
1.07203717966983	1.28656162368138
1.01276899928736	1.36829785299744
1.00580037472023	1.41971494782569
0.969008194006938	1.40521623267445
1.00649823730218	1.37897194319502
1.0370261224714	1.33637879568885
1.01663455505068	1.31258841617901
1.02592299602009	1.28284636872837
0.972600721781223	1.24906452888757
0.993506627915664	1.24724509500157
0.998071171204156	1.28716867241697
1.03634589719197	1.27398379875878
1.03840498601383	1.14742263625176
1.08806344687474	1.20138840302076
1.0917891186231	1.1974384311911
1.05832833285038	1.18721931652113
1.05879695180536	1.19649740773544
1.04178446255374	1.17168339573679
1.08840475414398	1.15157262204011
1.04761983370513	1.13549942174007
1.03153245974418	1.11610231153699
0.99513361483606	1.11921995986512
0.964750753782179	1.24311800262948
0.918738914887701	1.21107186818155
0.89116226997715	1.0774362942852
0.890569512834657	0.844096026009468
0.851014194254233	0.811153982245089
0.826493562223795	0.784678377573645
0.77379130832815	0.743424380325267
0.750989872908096	0.690114781666659
0.726072824262421	0.627202434394622
0.720891792219375	0.571883825060038
0.740540609646994	0.526724959504555
0.737908417848202	0.544447633460209
0.742820447023105	0.710760784465609
0.730071972625245	0.888692615372775
0.712627100649507	0.864170945330723
0.705721665874723	0.816551611221767
0.688337176595697	0.799769087918981
0.692236746523006	0.800919938532238
0.686593816064735	0.796788051466772
0.686077053441831	0.806264592776259
0.67411776344715	0.784945807806777
0.681453073313706	0.768805982545299
0.690606495638875	0.787216021731571
0.707701448508457	0.771165054544845
0.718759472958195	0.805379839349483
0.729700461584368	0.86448219193558
0.723598815880373	0.903020283179749
0.7488692893463	0.945729138477878
0.756742622206727	0.984457272458936
0.770362651433142	1.02091239935889
0.791867216187679	1.07790372478645
0.795585580534461	1.06731910899566
0.774439263160942	1.04433154813685
0.769469219645801	1.00691114715342
0.787305312179964	0.985556461442818
0.782464160347166	0.951542795983922
0.800428099459192	0.902574181835589
0.7751883576038	0.844930130466919
0.773739980331827	0.819842080303648
0.782654346709042	0.804016811444644
0.776609573879698	0.791570015259661
0.764923463000973	0.830981739833554
0.768922518075358	0.800815640833945
0.778257831775088	0.803995445831096
0.752196371810139	0.802450134933106
0.738403697980656	0.785708017149291
0.754209206276785	0.805382924752275
0.749931447675472	0.835563718704334
0.765613637886246	0.817280682947903
0.74068577222505	0.771226640847137
0.725518518341396	0.717179757585941
0.723590139053473	0.659200988713774
0.713269069252853	0.680640403364681
0.714996459035575	0.708075292071595
