Pathway	GeneIndex	GPSeq
all	1	0.284125818440141
all	2	0.284125818440141
all	3	0.646667932270911
all	4	0.276721539908254
all	5	0.449652849838418
all	6	0.756839377433952
all	7	0.236634833502826
all	8	0.219029238681971
all	9	0.424415094683769
all	10	0.594380435442738
all	11	0.659544073205789
all	12	0.659544073205789
all	13	0.562393551947493
all	14	0.310565567765726
all	15	0.909881900929512
all	16	0.0884802042575703
all	17	0.261083691875362
all	18	0.335228916958709
all	19	0.261083691875362
all	20	0.605118998291577
all	21	1
all	22	0.467077686505658
all	23	0.639393263484565
all	24	0.405173375570158
all	25	0.366959615394469
all	26	0.177490822336565
all	27	0.496273823876712
all	28	0.769120199882175
all	29	1
all	30	0.809720437646418
all	31	0.342930568899508
all	32	0.635383722289272
all	33	0.258077632680263
all	34	0.708926781063664
all	35	0.37655570295244
all	36	0.888390684960746
all	37	0.438617480295105
all	38	0.548340696251334
all	39	0.371787299393747
all	40	0.334670720269566
all	41	0.436702578691521
all	42	0.909881900929512
all	43	0.401800656182186
all	44	0.389560937938113
all	45	0.498040879591297
all	46	0.797376356183785
all	47	0.797376356183785
all	48	0.660064280567972
all	49	0.64228098335962
all	50	0.345721015134038
all	51	0.770416074524297
all	52	0.596498337443354
all	53	0.855584300791408
all	54	1
all	55	0.435315381971837
all	56	0.342175909223075
all	57	1
all	58	1
all	59	0.680749378642634
all	60	0.484657203173475
all	61	0.624881853332075
all	62	0.915348071971277
all	63	0.299516456252821
all	64	0.287859224185312
all	65	0.382562861525485
all	66	0.249808485974784
all	67	0.716544021175895
all	68	1
all	69	0.266261404251249
all	70	0.365581407546353
all	71	1
all	72	1
all	73	1
all	74	0.565385919406924
all	75	0.56285358542857
all	76	0.390290400361498
all	77	0.690007019187578
all	78	0.839147890704778
all	79	0.853764443460214
all	80	0.934605409581925
all	81	0.222307056053933
all	82	0.881752141478962
all	83	0.39935683877411
all	84	0.630370935323473
all	85	0.742850766521208
all	86	0.883805708992714
all	87	1
all	88	0.673110077042392
all	89	0.809720437646418
all	90	0.320328119883304
all	91	0.295539255621607
all	92	0.884680283275631
all	93	0.788604735178646
all	94	0.830635936897647
all	95	0.337200180680699
all	96	0.262098000674892
all	97	0.827763564479447
all	98	0.320228660486775
all	99	0.325044351286088
all	100	0.388655103273297
all	101	0.833159715736232
all	102	1
all	103	0.28342893360563
all	104	0.725990632270245
all	105	0.340759251809808
all	106	0.232670469787188
all	107	0.933180830478066
all	108	0.90009554533255
all	109	0.90009554533255
all	110	0.497367497669409
all	111	0.379454179778011
all	112	0.914511139053671
all	113	0.337906756899305
all	114	0.604775950789849
all	115	1
all	116	0.842750352328727
all	117	1
all	118	0.674534612249365
all	119	1
all	120	0.841535756175124
all	121	0.927898604758673
all	122	0.683263965567666
all	123	0.636239602483308
all	124	0.628524665776
all	125	0.634251641553255
all	126	0.408550096160789
all	127	1
all	128	0.883805708992714
all	129	0.901643136076262
all	130	0.901643136076262
all	131	0.980516387349437
all	132	0.409441132853192
all	133	0.633957134923915
all	134	0.474304858596679
all	135	0.740162652961891
all	136	0.493746969942823
all	137	0.180389922613589
all	138	0.326237315234605
all	139	1
all	140	0.685222834021742
all	141	0.507627843809778
all	142	0.833159715736232
all	143	0.727332538253292
all	144	0.616562864938163
all	145	0.286067066668878
all	146	1
all	147	0.166139933335927
all	148	0.914263349759323
all	149	0.588266263624606
all	150	0.853089146975695
all	151	1
all	152	0.470348747316036
all	153	0.652169554745511
all	154	0.745948219693455
all	155	0.425923225390767
all	156	0.385463323180363
all	157	0.280258921296743
all	158	0.998399618121423
all	159	0.729664016909604
all	160	0.547297292769989
all	161	0.417410958612213
all	162	1
all	163	0.950543383512227
all	164	0.437437174242212
all	165	1
all	166	0.996296874647327
all	167	1
all	168	0.68257071720068
all	169	0.916761366485034
all	170	1
all	171	0.770379129965041
all	172	1
all	173	1
all	174	0.986537398358112
all	175	1
all	176	1
all	177	0.642130504207353
all	178	1
all	179	0.333414323406108
all	180	1
all	181	1
all	182	0.906500230115101
all	183	1
all	184	1
all	185	1
all	186	1
all	187	1
all	188	0.920037954917369
all	189	0.36078838684993
all	190	0.729448359722283
all	191	0.426110794508395
all	192	0.507264411593304
all	193	0.407759690214511
all	194	0.856781132555099
all	195	0.649864517613838
all	196	0.531588494324066
all	197	0.53437512173753
all	198	0.362096962063444
all	199	1
all	200	0.80361457061749
all	201	0.215078136953934
all	202	0.286519134925806
all	203	0.538229028195123
all	204	0.706686720925909
all	205	0.286067066668878
all	206	0.389828464466356
all	207	0.896547467391823
all	208	0.758990828887263
all	209	0.727267800162061
all	210	0.195338469151558
all	211	0.769268307621242
all	212	0.518207206060692
all	213	1
all	214	0.328828134566197
all	215	0.390224559190454
all	216	1
all	217	1
all	218	0.378728601527639
all	219	0.980516387349437
all	220	1
all	221	1
all	222	1
all	223	0.58733772209519
all	224	0.425668442673318
all	225	0.409527061653637
all	226	0.425054525375646
all	227	0.550150733347932
all	228	0.342155405680255
all	229	0.357160260634261
all	230	0.389045266050876
all	231	0.844053810312744
all	232	0.758218943341914
all	233	0.509096321322419
all	234	0.734992789040513
all	235	0.393616615975045
all	236	0.629017493860622
all	237	0.314697746588948
all	238	0.853709227648194
all	239	0.776808745832728
all	240	0.49689358004451
all	241	0.693741142771345
all	242	0.43538341212698
all	243	0.43252101820601
all	244	0.46281377652431
all	245	0.806605147025521
all	246	1
all	247	0.287236129160224
all	248	0.762098944472235
all	249	0.687995399502572
all	250	0.861986750142835
all	251	0.861986750142835
all	252	0.933612490151132
all	253	1
all	254	1
all	255	1
all	256	0.959848184319224
all	257	1
all	258	0.68027985172397
all	259	0.462090145767612
all	260	0.563928577766285
all	261	0.966020628890422
all	262	0.882954460857258
all	263	0.958949872619357
all	264	0.29602637362886
all	265	0.415962671809116
all	266	0.698510357862754
all	267	0.379748624238748
all	268	0.174433657896675
all	269	0.421117120962471
all	270	0.965448090411854
all	271	0.867827947046082
all	272	0.755825681821488
all	273	0.81747010101871
all	274	0.616527268320944
all	275	0.606641075214351
all	276	0.904964769344255
all	277	0.658269638477908
all	278	1
all	279	0.705531503385363
all	280	0.478945631655333
all	281	0.314560608124301
all	282	1
all	283	0.566243515088879
all	284	0.566243515088879
all	285	0.685533028028719
all	286	0.632457514590495
all	287	1
all	288	0.909568352123156
all	289	0.887010013981616
all	290	0.494850237789873
all	291	0.565680829480323
all	292	0.883443117596277
all	293	0.367662737922314
all	294	1
all	295	0.502341706600963
all	296	0.225338290852592
all	297	0.933612490151132
all	298	1
all	299	0.667345783542552
all	300	0.310329500272475
all	301	1
all	302	0.968926646605283
all	303	0.863566566992235
all	304	0.336463760177441
all	305	0.995684839633565
all	306	0.844995088255107
all	307	1
all	308	0.915348071971277
all	309	0.299442560125837
all	310	0.888600531391929
all	311	0.722977453341444
all	312	0.531489102146021
all	313	0.321806950462838
all	314	0.433530987123685
all	315	0.736138602604561
all	316	0.549407973180652
all	317	0.531969613851915
all	318	0.402530724069282
all	319	1
all	320	0.799162931107018
all	321	0.433337461236387
all	322	0.356584126920412
all	323	0.914511139053671
all	324	1
all	325	0.518523671881495
all	326	0.200832242935066
all	327	0.200832242935066
all	328	0.440241862820741
all	329	0.42296593273106
all	330	0.689571817570787
all	331	0.513997286841691
all	332	0.986107275307502
all	333	0.758187150291283
all	334	0.385476993322674
all	335	0.469288209563495
all	336	0.288169148982374
all	337	0.895454470728482
all	338	0.916338839441671
all	339	0.231793684169235
all	340	0.991033359789885
all	341	1
all	342	0.998822895459945
all	343	0.320186275705634
all	344	0.534933339980219
all	345	0.336863399326528
all	346	0.508103002985969
all	347	0.595391521293646
all	348	0.535528589661545
all	349	0.71189878247854
all	350	0.719596119528236
all	351	1
all	352	1
all	353	0.636916737815734
all	354	0.773537736534195
all	355	0.900358079958648
all	356	0.596037070146408
all	357	0.773537736534195
all	358	0.724934912192574
all	359	0.483708133909848
all	360	0.362842173763403
all	361	0.474176321676367
all	362	0.871054932453673
all	363	0.439595873433585
all	364	0.301180461103317
all	365	0.943667754737741
all	366	0.630604626430817
all	367	0.0608467602839976
all	368	0.296774118983694
all	369	0.780307925841398
all	370	0.377709037041005
all	371	0.454462906457248
all	372	0.56285358542857
all	373	0.608153168700411
all	374	0.508914004934305
all	375	0.665647458501413
all	376	0.403245689231723
all	377	0.700522628299599
all	378	0.508293704621689
all	379	0.503224405597287
all	380	0.6161879715474
all	381	0.655043241401612
all	382	0.35147890387011
all	383	0.638644425951182
all	384	0.260919946307209
all	385	0.535297100427533
all	386	0.708492393367054
all	387	0.655829137942537
all	388	0.456595080616186
all	389	0.487114086517835
all	390	0.460854013340908
all	391	0.896149358084326
all	392	0.172753596133054
all	393	0.650388711870671
all	394	0.422569000358512
all	395	0.626864699650602
all	396	0.827745404192316
all	397	0.479734748355399
all	398	0.387243680603023
all	399	0.872135732987611
all	400	0.479544323320308
all	401	0.101448768432509
all	402	0.457846814055905
all	403	0.456181182312934
all	404	0.692827773855581
all	405	0.262385516633165
all	406	0.926380776023691
all	407	0.657694370723221
all	408	0.757598848545426
all	409	0.702212201970119
all	410	0.271842890370154
all	411	0.320338149985002
all	412	1
all	413	0.315540720691707
all	414	0.379242116386518
all	415	0.511758993857284
all	416	0.939870239590443
all	417	0.358489733204247
all	418	0.497396641037739
all	419	0.256014030315711
all	420	0.541985494160363
all	421	0.387952631730036
all	422	0.387952631730036
all	423	0.677536644052371
all	424	0.676054965617844
all	425	0.531313864095676
all	426	0.492741707291084
all	427	1
all	428	0.245262040612781
all	429	0.51162735128487
all	430	0.472862521871647
all	431	0.156880851995239
all	432	0.907848841177344
all	433	0.695264096600474
all	434	0.576845657691374
all	435	0.529200554264956
all	436	0.627091969563587
all	437	0.36318459850066
all	438	0.379226718145267
all	439	0.408514157050167
all	440	0.486389378429665
all	441	0.748941912721236
all	442	0.324121041355498
all	443	0.638782048566797
all	444	0.565736928212966
all	445	0.705027684943881
all	446	0.363716104681101
all	447	0.818068712242785
all	448	0.453871579891782
all	449	0.698892543376004
all	450	0.775402846024177
all	451	0.238878181936001
all	452	0.710300038867264
all	453	0.46149058425002
all	454	0.97547862390969
all	455	0.758867906854231
all	456	0.972916846749891
all	457	0.267912027024973
all	458	0.482212228364678
all	459	0.427674181376404
all	460	0.694362812874481
all	461	0.548359133153657
all	462	0.309192224811785
all	463	0.288785724367228
all	464	0.892145976952872
all	465	0.32061723280671
all	466	0.904785311593778
all	467	0.351179907878873
all	468	0.109799628662035
all	469	0.914511139053671
all	470	0.636083260013351
all	471	0.402674773779643
all	472	0.331237813861572
all	473	0.54517964246257
all	474	0.925830058968181
all	475	0.489342401640436
all	476	0.528998591794013
all	477	0.968145848811206
all	478	0.691561411755663
all	479	0.955689008663469
all	480	0.731624225444944
all	481	0.656831982105754
all	482	0.656831982105754
all	483	0.321376233615401
all	484	0.593273200546259
all	485	0.190008479736442
all	486	0.320359846384685
all	487	0.85819436912444
all	488	0.684331384423405
all	489	0.237747692891185
all	490	0.815669129216532
all	491	0.481031809570339
all	492	0.374025796582127
all	493	0.388539402835306
all	494	0.396713028228145
all	495	0.234135386980817
all	496	0.518580114800732
all	497	0.404886920435145
all	498	0.335216897033056
all	499	0.668548196873928
all	500	0.587798224464275
all	501	0.341431518738305
all	502	0.972916846749891
all	503	0.396526365212449
all	504	0.260364053557566
