condition	experiment	pcc
10min	Exp.1	-0.0155629749336436
15min	Exp.1	0.319815192884316
30min	Exp.1	0.620558288885317
1h	Exp.1	0.707284622273311
2h	Exp.1	0.704308215990922
10min	Exp.2	0.0274262107802871
15min	Exp.2	0.420901999130553
30min	Exp.2	0.492185593090285
1h	Exp.2	0.692423206591077
2h	Exp.2	0.741094721498609
