Row	Col	Value
Exp1	Exp2	0.97615442685074
Exp1	Exp3	0.930346825688728
Exp2	Exp3	0.984513615851535
Exp1	Exp4	0.97581681274955
Exp2	Exp4	0.989073236908205
Exp3	Exp4	0.974050944553078
