dln	rat_median	cond
0.0301507537688442	1.51396870503494	6h
0.0351758793969849	1.4965348482147	6h
0.0402010050251256	1.43553629469122	6h
0.0452261306532663	1.5056279752636	6h
0.050251256281407	1.52068037200196	6h
0.0552763819095477	1.47409223946218	6h
0.0603015075376884	1.4747785698855	6h
0.0653266331658292	1.52828324841427	6h
0.0703517587939699	1.48165216245055	6h
0.0753768844221106	1.47724682216378	6h
0.0804020100502513	1.45260237574242	6h
0.085427135678392	1.45504119283593	6h
0.0904522613065327	1.4692336497153	6h
0.0954773869346734	1.49183289001863	6h
0.100502512562814	1.47286171063149	6h
0.105527638190955	1.47115600448934	6h
0.110552763819095	1.46102200934726	6h
0.115577889447236	1.4770653182131	6h
0.120603015075377	1.48684516501868	6h
0.125628140703518	1.47980971504084	6h
0.130653266331658	1.45689268525442	6h
0.135678391959799	1.47227239443495	6h
0.14070351758794	1.46653179625449	6h
0.14572864321608	1.46557710221018	6h
0.150753768844221	1.48863298312933	6h
0.155778894472362	1.48295740134388	6h
0.160804020100503	1.47655208108931	6h
0.165829145728643	1.47803780832996	6h
0.170854271356784	1.47714857975237	6h
0.175879396984925	1.47248775938447	6h
0.180904522613065	1.47241669398794	6h
0.185929648241206	1.47378732817191	6h
0.190954773869347	1.49082386675982	6h
0.195979899497487	1.48495988072098	6h
0.201005025125628	1.49726484796817	6h
0.206030150753769	1.47643723113023	6h
0.21105527638191	1.49077390947607	6h
0.21608040201005	1.46941025169943	6h
0.221105527638191	1.48989626557688	6h
0.226130653266332	1.50243619073152	6h
0.231155778894472	1.48930741190765	6h
0.236180904522613	1.49911407812928	6h
0.241206030150754	1.49299093175949	6h
0.246231155778895	1.48839202933187	6h
0.251256281407035	1.50112919846645	6h
0.256281407035176	1.49578457279477	6h
0.261306532663317	1.50150117949818	6h
0.266331658291457	1.5049211640516	6h
0.271356783919598	1.50155103934132	6h
0.276381909547739	1.5117413865357	6h
0.281407035175879	1.50570165231557	6h
0.28643216080402	1.50876535378612	6h
0.291457286432161	1.50956453763738	6h
0.296482412060302	1.512692253483	6h
0.301507537688442	1.51567255021303	6h
0.306532663316583	1.5197672708255	6h
0.311557788944724	1.516441719375	6h
0.316582914572864	1.52196821619784	6h
0.321608040201005	1.52562456798657	6h
0.326633165829146	1.52178055566142	6h
0.331658291457286	1.52541811558205	6h
0.336683417085427	1.52783122835252	6h
0.341708542713568	1.53023838728601	6h
0.346733668341709	1.53314186956743	6h
0.351758793969849	1.53434371960212	6h
0.35678391959799	1.53705676834254	6h
0.361809045226131	1.53411413734048	6h
0.366834170854271	1.54463909671187	6h
0.371859296482412	1.53165686847856	6h
0.376884422110553	1.54337684880483	6h
0.381909547738693	1.55184270851702	6h
0.386934673366834	1.53979642251521	6h
0.391959798994975	1.55096852915756	6h
0.396984924623116	1.55443085305272	6h
0.402010050251256	1.55073942218772	6h
0.407035175879397	1.55141970984877	6h
0.412060301507538	1.55592131044753	6h
0.417085427135678	1.56458560148212	6h
0.422110552763819	1.56324246658151	6h
0.42713567839196	1.56192253564217	6h
0.4321608040201	1.55969844510759	6h
0.437185929648241	1.55931703087886	6h
0.442211055276382	1.56573569482289	6h
0.447236180904523	1.574021792389	6h
0.452261306532663	1.5729858289565	6h
0.457286432160804	1.57291806506466	6h
0.462311557788945	1.57767778961672	6h
0.467336683417086	1.57161829534723	6h
0.472361809045226	1.58517916412653	6h
0.477386934673367	1.57790508413172	6h
0.482412060301508	1.58237713382591	6h
0.487437185929648	1.58753386609983	6h
0.492462311557789	1.58509417298411	6h
0.49748743718593	1.57646456894346	6h
0.50251256281407	1.59548529707281	6h
0.507537688442211	1.59729540762695	6h
0.512562814070352	1.59048003407995	6h
0.517587939698493	1.59260578143643	6h
0.522613065326633	1.59973993108316	6h
0.527638190954774	1.59369355010095	6h
0.532663316582915	1.60326083110144	6h
