condition	experiment	scc
10min	Exp.1	-0.204452842442055
15min	Exp.1	0.359796539663477
30min	Exp.1	0.663212039691608
1h	Exp.1	0.769503850703539
2h	Exp.1	0.769522937040586
10min	Exp.2	-0.157366848948351
15min	Exp.2	0.458148434464066
30min	Exp.2	0.557626423150398
1h	Exp.2	0.747745426470535
2h	Exp.2	0.773702844853768
