layer	hic_mean
1	23.9322529206166
2	21.8274362733764
3	22.7132624784726
4	25.4894864208381
5	30.592362870061
6	39.0132131525794
7	48.9683555145813
8	64.4642306708106
9	87.8736337836427
10	133.442094008355
