cond	exp	dln
2 h	Exp.1	0.693754782611197
2 h	Exp.1	0.593493710901563
2 h	Exp.1	0.537375711308935
2 h	Exp.1	0.634650164009568
2 h	Exp.1	0.648428539559451
2 h	Exp.1	0.595510013921059
2 h	Exp.1	0.608280394165104
2 h	Exp.1	0.648430580714801
2 h	Exp.1	0.723019176816849
2 h	Exp.1	0.60993896484375
2 h	Exp.1	0.643434868439316
2 h	Exp.1	0.545687355713049
2 h	Exp.1	0.700985706221902
2 h	Exp.1	0.654470239717977
2 h	Exp.1	0.650075170226726
2 h	Exp.1	0.588488272592875
2 h	Exp.1	0.581159998410383
2 h	Exp.1	0.62193240220844
2 h	Exp.1	0.6130778370001
2 h	Exp.1	0.585140931736648
2 h	Exp.1	0.680147234001586
2 h	Exp.1	0.550249654198275
2 h	Exp.1	0.605626064849127
2 h	Exp.1	0.640792893141509
2 h	Exp.1	0.693010770673634
2 h	Exp.1	0.600898740308479
2 h	Exp.1	0.688588997184357
2 h	Exp.1	0.646771977119866
2 h	Exp.1	0.568205754216005
2 h	Exp.1	0.602353086775417
2 h	Exp.1	0.622239113664372
2 h	Exp.1	0.618022534993042
2 h	Exp.1	0.582447882791842
2 h	Exp.1	0.562677169091692
2 h	Exp.1	0.65138889279053
2 h	Exp.1	0.617455050786851
2 h	Exp.1	0.545170071008861
2 h	Exp.1	0.586886183467354
2 h	Exp.1	0.528529145209378
2 h	Exp.1	0.564552471714524
2 h	Exp.1	0.591759837248582
2 h	Exp.1	0.704611899454192
2 h	Exp.1	0.581599183012461
2 h	Exp.1	0.608285301365009
2 h	Exp.1	0.602570720302097
2 h	Exp.1	0.548770171528451
2 h	Exp.1	0.647609889448506
2 h	Exp.1	0.652107769494789
2 h	Exp.1	0.635127649054033
2 h	Exp.1	0.629424124052757
2 h	Exp.1	0.613493864345458
2 h	Exp.1	0.661832213034972
2 h	Exp.1	0.596091782527534
2 h	Exp.1	0.608659717442994
2 h	Exp.1	0.578013373061306
2 h	Exp.1	0.619277103514765
2 h	Exp.1	0.599509280295051
2 h	Exp.1	0.537385142723857
2 h	Exp.1	0.542286281523264
2 h	Exp.1	0.580699331887111
2 h	Exp.1	0.633713144944228
2 h	Exp.1	0.559076675873598
2 h	Exp.1	0.574135042282761
2 h	Exp.1	0.685636845577126
2 h	Exp.1	0.565778269975185
2 h	Exp.1	0.645247265041019
2 h	Exp.1	0.660966395205486
2 h	Exp.1	0.564849000637518
2 h	Exp.1	0.59993896484375
2 h	Exp.1	0.639352827830685
2 h	Exp.1	0.630923326763206
2 h	Exp.1	0.557014410308028
2 h	Exp.1	0.651659287413696
2 h	Exp.1	0.626532939667866
2 h	Exp.1	0.602672754436522
2 h	Exp.1	0.567492131878028
2 h	Exp.1	0.625407465384037
2 h	Exp.1	0.638442115344098
2 h	Exp.1	0.615818538043611
2 h	Exp.1	0.64757663646957
2 h	Exp.1	0.623438572726368
2 h	Exp.1	0.572107902663466
2 h	Exp.1	0.481768847953184
2 h	Exp.1	0.638305950298025
2 h	Exp.1	0.562785039165049
2 h	Exp.1	0.545099715833123
2 h	Exp.1	0.624024376693073
2 h	Exp.1	0.565668345135716
2 h	Exp.1	0.586824104928335
2 h	Exp.1	0.613649829176814
2 h	Exp.1	0.67970272734199
2 h	Exp.1	0.617861213321813
2 h	Exp.1	0.560394540047005
2 h	Exp.1	0.642225540882513
2 h	Exp.1	0.63
2 h	Exp.1	0.573674448787611
2 h	Exp.1	0.488701372067232
2 h	Exp.1	0.551957493832517
2 h	Exp.1	0.666750195180182
2 h	Exp.1	0.595653568724089
2 h	Exp.1	0.504353765923863
2 h	Exp.1	0.696004237286814
2 h	Exp.1	0.613415211610436
2 h	Exp.1	0.552209987999008
2 h	Exp.1	0.59006103515625
2 h	Exp.1	0.928118265680936
2 h	Exp.1	0.610115743667145
2 h	Exp.1	0.643044046576955
2 h	Exp.1	0.682788543868485
2 h	Exp.1	0.638516413685786
2 h	Exp.1	0.585646031631899
2 h	Exp.1	0.692528665531923
2 h	Exp.1	0.613777183635765
2 h	Exp.1	0.606346461173837
2 h	Exp.1	0.577474439310574
2 h	Exp.1	0.619883544352369
2 h	Exp.1	0.606603107173441
2 h	Exp.1	0.667971076421965
2 h	Exp.1	0.627599864332217
2 h	Exp.1	0.558029564085249
2 h	Exp.1	0.585329620580248
2 h	Exp.1	0.604980605726447
2 h	Exp.1	0.690686412678862
2 h	Exp.1	0.539239887098323
2 h	Exp.1	0.589426656692469
2 h	Exp.1	0.645198338446681
2 h	Exp.1	0.628623543292809
2 h	Exp.1	0.628524768781109
2 h	Exp.1	0.488332014723195
2 h	Exp.1	0.586277376974105
2 h	Exp.1	0.632006381061646
2 h	Exp.1	0.57006103515625
2 h	Exp.1	0.707580722291061
2 h	Exp.1	0.722289774228676
2 h	Exp.1	0.591009239160243
2 h	Exp.1	0.513448787749309
2 h	Exp.1	0.636946261045579
2 h	Exp.1	0.577411723483439
2 h	Exp.1	0.658577376644324
2 h	Exp.1	0.5954171142643
2 h	Exp.1	0.562676719114392
2 h	Exp.1	0.64503785220855
2 h	Exp.1	0.558845962469665
2 h	Exp.1	0.610435303167611
2 h	Exp.1	0.546062651480749
2 h	Exp.1	0.564124302836656
2 h	Exp.1	0.626855785883575
2 h	Exp.1	0.665820846295646
2 h	Exp.1	0.164630574041554
2 h	Exp.1	0.563614081216548
2 h	Exp.1	0.601230130754494
2 h	Exp.1	0.678100129525756
2 h	Exp.1	0.607563836284798
2 h	Exp.1	0.558709101507395
2 h	Exp.1	0.603701645494661
2 h	Exp.1	0.576928602358391
2 h	Exp.1	0.543536809584928
2 h	Exp.1	0.598245681641708
2 h	Exp.1	0.617871450987717
2 h	Exp.1	0.617114188740239
2 h	Exp.1	0.574010686073325
2 h	Exp.1	0.646844263092767
2 h	Exp.1	0.638670638030783
2 h	Exp.1	0.571180217850025
2 h	Exp.1	0.657287856947698
2 h	Exp.1	0.612060122432441
2 h	Exp.1	0.547986861610364
2 h	Exp.1	0.614605559921069
2 h	Exp.1	0.541212268076446
2 h	Exp.1	0.64
2 h	Exp.1	0.681523912155844
2 h	Exp.1	0.603775664754838
2 h	Exp.1	0.597629550883135
2 h	Exp.1	0.580982908922812
2 h	Exp.1	0.993312630670956
2 h	Exp.1	0.57202096983805
2 h	Exp.1	0.674357204974474
2 h	Exp.1	0.540963093849762
2 h	Exp.1	0.640509219927786
2 h	Exp.1	0.548010809911725
2 h	Exp.1	0.58923333551611
2 h	Exp.1	0.646610476525703
2 h	Exp.1	0.584072321835975
2 h	Exp.1	0.684073134145515
2 h	Exp.1	0.571655095383349
2 h	Exp.1	0.566167492529201
2 h	Exp.1	0.552228538527288
2 h	Exp.1	0.577718421667662
2 h	Exp.1	0.570907849548036
2 h	Exp.1	0.636611941182318
2 h	Exp.1	0.60707107234931
2 h	Exp.1	0.622207473028428
2 h	Exp.1	0.636471679023059
