chromIDA	binA	chromIDB	binB	hic	d3dmean
1	1	1	2	0.103211447349961	0.014062183387953
1	1	1	3	0.197081579199587	0.0492298611226527
1	1	1	4	0.189321559633559	0.0607899276599229
1	1	1	5	0.225880204467133	0.107817557973839
1	1	1	6	0.284073322224729	0.200517909485653
1	1	1	7	0.363052593527497	0.280358578446185
1	1	1	8	0.434892923113255	0.35240919607258
1	1	1	9	0.425661050470129	0.324728442878547
1	1	1	10	0.434246286808648	0.304441063111295
1	1	1	11	0.438316157099416	0.303074197506804
1	1	1	12	0.382498797097734	0.220670650243586
1	1	1	13	0.50364522910496	0.356628408786591
1	1	1	14		0.642685463028685
1	1	1	15	0.426804872018167	0.329619594973934
1	1	1	16	0.373423935986037	0.229006493262782
1	1	1	17	0.487163362498702	0.343687193933573
1	1	1	18	0.516092053950281	0.37940056562157
1	1	1	19	0.533259028072603	0.428090538337348
1	1	1	20	0.594458148248873	0.477256298244747
1	1	1	21	0.400487302211764	0.290252532755572
1	1	1	22	0.487630081880002	0.425823796064991
1	1	1	23	0.39772725996479	0.344038399422153
1	1	1	24	0.431406453808442	0.38881699365458
1	1	1	25	0.427402991337037	0.423554913553843
1	1	2	26	0.706245672482178	0.547313220789658
1	1	2	27	0.712519269676168	0.567068978029233
1	1	2	28	0.612662536071959	0.463554807576761
1	1	2	29	0.661790922901769	0.51199361781841
1	1	2	30	0.635542886734881	0.450432173695857
1	1	2	31	0.713585181176919	0.535566519398908
1	1	2	32	0.641658031150138	0.440151932914398
1	1	2	33	0.660606793782168	0.436123265147888
1	1	2	34	0.701538046359873	0.476833402712237
1	1	2	35	0.665208802280533	0.449484184739541
1	1	2	36	0.704813690395609	0.40903487254578
1	1	2	37	0.681484462931359	0.418576246973019
1	1	2	38	0.712247364237046	0.434323814919228
1	1	2	39	0.713321542033208	0.492374157990797
1	1	2	40	0.731709598313953	0.574889211126859
1	1	2	41	0.703448474579334	0.559230246173841
1	1	2	42	0.728483213920103	0.578306438880988
1	1	2	43	0.611485645605049	0.464128168072168
1	1	2	44	0.742033913936811	0.587999967488939
1	1	2	45	0.731257027880833	0.611487267756468
1	1	2	46	0.63968554034888	0.531578447693493
1	1	2	47	0.670436152946853	0.579829564539072
1	1	2	48	0.689401062927905	0.576235397571545
1	1	2	49	0.533228128453897	0.427901672876684
1	1	2	50	0.380823780624349	0.364838956180021
1	1	3	51	0.675956237116895	0.593419222764705
1	1	3	52	0.614210118479948	0.466136200144256
1	1	3	53	0.725347100865807	0.604487235278599
1	1	3	54	0.675005170258977	0.517195645406446
1	1	3	55	0.551025145385909	0.357996437106991
1	1	3	56	0.581961194381426	0.330198714591085
1	1	3	57	0.695831084869959	0.477063122097505
1	1	3	58	0.704769616603067	0.510727245205369
1	1	3	59	0.771252470223026	0.578709615223901
1	1	3	60	0.779670763050275	0.569520349690099
1	1	3	61	0.741204053712326	0.557585434463458
1	1	3	62	0.720185612814642	0.533380676516965
1	1	3	63	0.600085295498026	0.386889603633836
1	1	3	64	0.663498986606264	0.444834468549623
1	1	3	65	0.697797600605979	0.531483637265072
1	1	3	66	0.706627060226293	0.563264326636128
1	1	3	67	0.740271134590316	0.597156860310274
1	1	3	68	0.669586391033274	0.583081534615456
1	1	3	69	0.604236745065913	0.522563587366219
1	1	3	70	0.536222950779075	0.513030502085807
1	2	1	3	0.121022056645928	0.0308530161674029
1	2	1	4	0.168667091658911	0.0514624899346009
1	2	1	5	0.213094592911112	0.096592200215454
1	2	1	6	0.267206813136555	0.185497938124835
1	2	1	7	0.333602996889346	0.264562075606436
1	2	1	8	0.410967263691341	0.337105097933285
1	2	1	9	0.393765975293029	0.310757254793226
1	2	1	10	0.403832790153924	0.29155370489706
1	2	1	11	0.433682740286488	0.291125493877112
1	2	1	12	0.359262988697895	0.212153365046576
1	2	1	13	0.499897590084166	0.352833441705024
1	2	1	14		0.636221953538902
1	2	1	15	0.389902961331913	0.323581537750082
1	2	1	16	0.37081234176747	0.222714621454016
1	2	1	17	0.473957129813762	0.333732776093941
1	2	1	18	0.502948593909061	0.368466494903857
1	2	1	19	0.516723671508026	0.416048314047982
1	2	1	20	0.596762659828558	0.464318645777189
1	2	1	21	0.389168764420482	0.278881130681128
1	2	1	22	0.481529480210934	0.41280770122594
1	2	1	23	0.412481129440083	0.331921564134792
1	2	1	24	0.386125362410551	0.375033394402925
1	2	1	25	0.441658102297668	0.410179096962866
1	2	2	26	0.760174356218188	0.552340442236545
1	2	2	27	0.715736585433098	0.572062020265879
1	2	2	28	0.601167269661035	0.469266851008632
1	2	2	29	0.661198337813211	0.517357176896712
1	2	2	30	0.616431019132042	0.456313274386497
1	2	2	31	0.71452331051649	0.540650462653326
1	2	2	32	0.627533432924754	0.445705965839467
1	2	2	33	0.651919278719965	0.441680892001063
1	2	2	34	0.689161075774768	0.482502304782269
1	2	2	35	0.650628213974697	0.455173661926257
1	2	2	36	0.702018663917178	0.41475867746633
1	2	2	37	0.687368050722656	0.424551566929693
1	2	2	38	0.721790246418792	0.440331308949464
1	2	2	39	0.708566572088629	0.497796011734727
1	2	2	40	0.730214516669017	0.579622669801021
1	2	2	41	0.701327892038301	0.563974627270048
1	2	2	42	0.729524725098836	0.583072926386741
1	2	2	43	0.602326037833656	0.469537163960793
1	2	2	44	0.733819518641549	0.592936131006504
1	2	2	45	0.735107480106996	0.616496782196816
1	2	2	46	0.632556909709768	0.536978144359635
1	2	2	47	0.674032870295491	0.584836802000645
1	2	2	48	0.700794776250631	0.581187144301798
1	2	2	49	0.540632109063809	0.433914424521751
1	2	2	50	0.517559563807212	0.372115714644359
1	2	3	51	0.711659233010108	0.595458350286086
1	2	3	52	0.601151302792104	0.468821230812163
1	2	3	53	0.73762090637837	0.606343214212631
1	2	3	54	0.663642336502655	0.519029623439429
1	2	3	55	0.546601043047874	0.36157576134008
1	2	3	56	0.566500157317378	0.3343995265758
1	2	3	57	0.688407243970113	0.479513897053962
1	2	3	58	0.70422849235956	0.513094646082949
1	2	3	59	0.775704750285538	0.580846336875716
1	2	3	60	0.778921263238694	0.571725062322902
1	2	3	61	0.733673419185419	0.559860000674444
1	2	3	62	0.714670529116981	0.535830956681764
1	2	3	63	0.587587916333165	0.390365663927739
1	2	3	64	0.654029895749986	0.447346049626374
1	2	3	65	0.693193229786318	0.533844966220989
1	2	3	66	0.708181753038752	0.565464398998195
1	2	3	67	0.745930626018057	0.599753267598329
1	2	3	68	0.670156567236814	0.585945149645272
1	2	3	69	0.608365729755336	0.525710141117013
1	2	3	70	0.57839189268181	0.516543958620758
1	3	1	4	0.11204230653	0.032217550200231
1	3	1	5	0.21807207418038	0.094984436480158
1	3	1	6	0.293690828072809	0.198090628411993
1	3	1	7	0.353906294627604	0.279647460657423
1	3	1	8	0.446321432472146	0.351702674509866
1	3	1	9	0.385847143231133	0.322056880940538
1	3	1	10	0.392862998236773	0.299423898147125
1	3	1	11	0.441575255165259	0.297583002219737
1	3	1	12	0.373297017298189	0.20866171785452
1	3	1	13	0.526046805697029	0.342225357992513
1	3	1	14		0.63309444211667
1	3	1	15	0.402582124727752	0.315637179608077
1	3	1	16	0.359077241945006	0.214601389237805
1	3	1	17	0.475116533619162	0.335289160521042
1	3	1	18	0.511748523220379	0.372006746173651
1	3	1	19	0.519166883119636	0.421405774221347
1	3	1	20	0.596026640462799	0.47189244963301
1	3	1	21	0.381010521823916	0.28169560675504
1	3	1	22	0.488682234741267	0.421737751515463
1	3	1	23	0.418831649448397	0.339090596263355
1	3	1	24	0.448262742786798	0.385012535029457
1	3	1	25	0.479049819833697	0.420109858364113
1	3	2	26	0.757785307230626	0.540454755122474
1	3	2	27	0.716111748013752	0.560387765273763
1	3	2	28	0.563947971274217	0.45526317716224
1	3	2	29	0.629532229780287	0.504709717305907
1	3	2	30	0.571733380019559	0.442335974858765
1	3	2	31	0.672488856921723	0.528658101485328
1	3	2	32	0.584429305495735	0.431553053805304
1	3	2	33	0.607924870478583	0.426576428980912
1	3	2	34	0.670602602392729	0.468130130675688
1	3	2	35	0.62102076647874	0.439683026051578
1	3	2	36	0.689888352986818	0.398887152091711
1	3	2	37	0.659535262608284	0.408795530727984
1	3	2	38	0.69081946161655	0.424791245113396
1	3	2	39	0.682795932713932	0.483801287333522
1	3	2	40	0.6922380219829	0.566908931429373
1	3	2	41	0.654235566351624	0.551278945498373
1	3	2	42	0.693004644132451	0.570663219047936
1	3	2	43	0.542664403734388	0.45562333093971
1	3	2	44	0.704874672529107	0.581227043567536
1	3	2	45	0.709660930106216	0.605440121044259
1	3	2	46	0.60153664389177	0.5254515656811
1	3	2	47	0.665480598378097	0.573859584768132
1	3	2	48	0.704951601608372	0.570702539349992
1	3	2	49	0.54639920845365	0.421125778634702
1	3	2	50	0.482894608240984	0.357376913506415
1	3	3	51	0.716029179634579	0.585566010912289
1	3	3	52	0.582685967718404	0.456255145837037
1	3	3	53	0.725383344802161	0.596752643519741
1	3	3	54	0.644432672198725	0.508095525296135
1	3	3	55	0.504237577873492	0.345506603718888
1	3	3	56	0.514954939001018	0.317180711271987
1	3	3	57	0.651496634316906	0.467376129548709
1	3	3	58	0.657166808818693	0.501558266560535
1	3	3	59	0.745598236217428	0.5707273331219
1	3	3	60	0.760611769744322	0.561655069892437
1	3	3	61	0.706695500271217	0.550121071485242
1	3	3	62	0.675614543033987	0.525806284561144
1	3	3	63	0.545533908572431	0.376799681976775
1	3	3	64	0.634944481198652	0.43571340693142
1	3	3	65	0.652638784482747	0.523916720021573
1	3	3	66	0.665934255189168	0.55625142702281
1	3	3	67	0.708691535435249	0.591324987777139
1	3	3	68	0.636874936584027	0.577111642646257
1	3	3	69	0.584630464956943	0.515530946521936
1	3	3	70	0.540212458624382	0.506171652602632
1	4	1	5	0.123762563797589	0.0421044261242565
1	4	1	6	0.214515177023776	0.13478172858748
1	4	1	7	0.282946466468831	0.213096800673684
1	4	1	8	0.353951748010261	0.284022554023406
1	4	1	9	0.339514649821302	0.256371295297165
1	4	1	10	0.345521192815069	0.237749070313252
1	4	1	11	0.372263044130418	0.24076295131642
1	4	1	12	0.310308094238347	0.170586883048969
1	4	1	13	0.46385723535075	0.327665963292397
1	4	1	14		0.608741182813331
1	4	1	15	0.393000943095533	0.298406331283406
1	4	1	16	0.35599405001992	0.203390059466075
1	4	1	17	0.451771835752443	0.313792810649918
1	4	1	18	0.488941803416884	0.349659249890392
1	4	1	19	0.509955588391054	0.398224209619178
1	4	1	20	0.603594046776729	0.447730030723555
1	4	1	21	0.393941877062379	0.267672597845382
1	4	1	22	0.493677332210217	0.401999955583339
1	4	1	23	0.429309742161817	0.323469931146936
1	4	1	24	0.449203966987994	0.367382606339371
1	4	1	25	0.471197963974227	0.401716432514573
1	4	2	26	0.775514353226441	0.563675455612477
1	4	2	27	0.735349583418747	0.582848634451049
1	4	2	28	0.618010096334235	0.480734552430859
1	4	2	29	0.655921120269301	0.528388800342567
1	4	2	30	0.619583852466987	0.467985018908708
1	4	2	31	0.716856833194017	0.551461711051975
1	4	2	32	0.635290478871034	0.456937506644662
1	4	2	33	0.666672008496778	0.452885071229622
1	4	2	34	0.707234756382102	0.492733891556782
1	4	2	35	0.663862944607554	0.465269879444615
1	4	2	36	0.717211817288056	0.425745899596819
1	4	2	37	0.684556728600033	0.435847178481386
1	4	2	38	0.735688648759749	0.451032510601481
1	4	2	39	0.722773613789771	0.508133135388429
1	4	2	40	0.745078092136824	0.588778945499034
1	4	2	41	0.709940576511696	0.573768347900606
1	4	2	42	0.738084789670512	0.592901253238584
1	4	2	43	0.617584458216129	0.480503725214216
1	4	2	44	0.762860921344233	0.60275504486552
1	4	2	45	0.755736137507388	0.625778518116719
1	4	2	46	0.659091148982829	0.547392631330527
1	4	2	47	0.700733751153869	0.59501723196203
1	4	2	48	0.727394640354469	0.591387607722306
1	4	2	49	0.573143097231062	0.445926215674111
1	4	2	50	0.55037499413014	0.385261235766171
1	4	3	51	0.72632636508679	0.606914443875346
1	4	3	52	0.61674673093821	0.481118880080508
1	4	3	53	0.746489296901847	0.617636401561898
1	4	3	54	0.676275648045205	0.531319940181476
1	4	3	55	0.555448461546521	0.3758145774861
1	4	3	56	0.577166122118532	0.349527325796411
1	4	3	57	0.685642892388578	0.492883548232788
1	4	3	58	0.707579065973213	0.526350636648552
1	4	3	59	0.787734744355215	0.593985665863239
1	4	3	60	0.781711171256012	0.585293528773967
1	4	3	61	0.743964965635981	0.574065467565686
1	4	3	62	0.72311776347136	0.549952071569388
1	4	3	63	0.596047708532063	0.406176216643632
1	4	3	64	0.661320874950918	0.462395199065484
1	4	3	65	0.700643478323825	0.548233861503743
1	4	3	66	0.719738219066086	0.579838899452468
1	4	3	67	0.767858351031544	0.613644688187419
1	4	3	68	0.684682958893309	0.599469106042105
1	4	3	69	0.630734769734893	0.539281683331508
1	4	3	70	0.602723829325271	0.530352846212751
1	5	1	6	0.112977865577663	0.0687931974913073
1	5	1	7	0.209510506912737	0.142724057261807
1	5	1	8	0.260745929397822	0.210112532910295
1	5	1	9	0.282323546580975	0.191943494709192
1	5	1	10	0.296599365011032	0.183775104355418
1	5	1	11	0.292572197563263	0.192106633067225
1	5	1	12	0.280634126030757	0.155815962476535
1	5	1	13	0.400909388463774	0.329702460644422
1	5	1	14		0.591392158033671
1	5	1	15	0.37423264597028	0.297732893557437
1	5	1	16	0.357024638103169	0.21304135194496
1	5	1	17	0.438525058173697	0.304378881579563
1	5	1	18	0.461420351358485	0.337100519568394
1	5	1	19	0.475500988632437	0.383345006571657
1	5	1	20	0.5486471166304	0.429666807839108
1	5	1	21	0.38385030258606	0.26853865203378
1	5	1	22	0.461252573901706	0.390280809750564
1	5	1	23	0.416137558009849	0.320900195081216
1	5	1	24	0.429788836535395	0.360527735553985
1	5	1	25	0.442779049675025	0.392156455182635
1	5	2	26	0.763885508868112	0.599922691984239
1	5	2	27	0.736557861687883	0.618253582884842
1	5	2	28	0.635032729524826	0.521519709094908
1	5	2	29	0.671836609599298	0.566728051483522
1	5	2	30	0.639141397287599	0.509813286015814
1	5	2	31	0.729629626952514	0.589299787074393
1	5	2	32	0.648326834412712	0.499524566894444
1	5	2	33	0.675815749094762	0.496593109399212
1	5	2	34	0.721857180983426	0.533941558819989
1	5	2	35	0.67634957820585	0.50867329028767
1	5	2	36	0.721918796640173	0.470986000687903
1	5	2	37	0.70775692699509	0.480978646988896
1	5	2	38	0.742620916840328	0.495327517281992
1	5	2	39	0.728023163739396	0.5496175984053
1	5	2	40	0.736746194158754	0.626512580273059
1	5	2	41	0.706218888331371	0.611744533014047
1	5	2	42	0.736771755560228	0.629893942287871
1	5	2	43	0.620301509812712	0.522727987296596
1	5	2	44	0.74854548958185	0.639376703154889
1	5	2	45	0.749601198079421	0.661267331203223
1	5	2	46	0.662102347300715	0.585423832348588
1	5	2	47	0.697815095756289	0.630849471255591
1	5	2	48	0.717121427149883	0.626953068572363
1	5	2	49	0.599770437736483	0.48840021494701
1	5	2	50	0.579639553816437	0.432149471784025
1	5	3	51	0.716057791992163	0.640520968873973
1	5	3	52	0.638752566594199	0.520806427997669
1	5	3	53	0.737494302357189	0.650421975082684
1	5	3	54	0.686664937682345	0.567978658296289
1	5	3	55	0.586542169772582	0.422943476197231
1	5	3	56	0.598068068747768	0.398942812325071
1	5	3	57	0.700232451508145	0.532786336815457
1	5	3	58	0.706338408429129	0.564960048173777
1	5	3	59	0.785718867260328	0.629613347544093
1	5	3	60	0.790851241937468	0.621196560418364
1	5	3	61	0.739743973587154	0.610098887273272
1	5	3	62	0.713908438000924	0.587045548889818
1	5	3	63	0.614579397879371	0.451445133331279
1	5	3	64	0.672801627113423	0.503661008457488
1	5	3	65	0.697826432325067	0.584691114096788
1	5	3	66	0.706860262509052	0.614410849328692
