comp	Layer	Ns	K562_RepliSeq	N
B1	9	0	56.3784723628616	202
B1	8	0	55.206054926796	255
B1	9	0	54.7559373530197	202
B1	9	0	56.7482378030396	202
A2	8	0	61.4010144221497	421
A1	9	0	66.6730648571014	515
A1	9	0	69.5387343258667	515
A1	6	0	68.6648806006622	202
A1	7	0	65.4518689678192	412
A1	6	0	66.8878792038727	202
A1	9	0	70.6260785194397	515
A2	9	0	71.4519987004089	182
A2	8	0	72.6618988985443	421
A1	8	0	73.0591810604858	497
A2	9	0	74.3185261088562	182
A2	10	0	77.1693437406922	133
A1	8	0	79.4294773142243	497
A1	10	0	81.8354786312866	823
A1	9	0	83.516626211319	515
A1	9	0	83.6492001679993	515
A2	9	0	80.2364518518829	182
A2	9	0	72.7938600042725	182
A2	8	0	66.4437143922424	421
A2	9	0	62.2294377408981	182
A2	10	0	58.4198159035874	133
A2	9	0	55.6579121383286	182
A2	9	0	54.947969943924	182
A1	9	0	58.4749550031281	515
A2	9	0	66.5097005890274	182
A1	6	0	70.9893081899262	202
A1	8	0	71.7033095220184	497
A1	8	0	75.3957312523651	497
A1	8	0	77.2247416413117	497
A1	9	0	77.8959735566711	515
A1	9	0	76.6983837563324	515
A1	8	0	74.6889670311737	497
A1	10	0	75.2332328875732	823
A1	9	0	75.8602207418823	515
A1	9	0	75.0634217931366	515
A1	9	0	70.9737900393677	515
A2	9	0	62.9480620313645	182
A1	8	0	58.3994256558228	497
A1	9	0	59.9651548231506	515
A2	7	0	62.2023347769547	881
A1	8	0	64.2304446331787	497
A1	7	0	68.1187062543488	412
A1	8	0	71.711069026947	497
A1	9	0	69.1294711805725	515
A2	9	0	64.9478962798309	182
A2	8	0	65.2512717815399	421
A2	9	0	69.9544069129181	182
A1	9	0	77.8032070519257	515
A1	10	0	81.5549164684296	823
A1	8	0	82.215259564209	497
A1	9	0	78.9109797655487	515
A1	9	0	73.1540501692963	515
A1	9	0	73.2680951496124	515
A1	7	0	77.845803425293	412
A1	9	0	80.3367045694733	515
A1	9	0	80.3478328797913	515
A1	9	0	80.8875260185242	515
A1	10	0	80.0980028514099	823
A1	9	0	78.4571892663574	515
A1	9	0	77.9715821755219	515
A1	9	0	80.1798024955749	515
A1	8	0	80.7481696231079	497
A1	8	0	79.7056269211578	497
A1	8	0	80.7200568685913	497
A1	10	0	80.8193277498627	823
A1	9	0	76.9205719563293	515
A1	9	0	73.4413557762909	515
A1	8	0	74.9595113267517	497
A1	10	0	77.8530997090912	823
A1	9	0	80.322684026413	515
A1	9	0	81.0508863178253	515
A1	8	0	78.7011875059509	497
A1	8	0	76.0558632775879	497
A1	9	0	77.9536794419861	515
A1	8	0	79.2259437089539	497
A1	8	0	78.3231716135407	497
A1	7	0	78.2718600215912	412
A1	8	0	80.6511040678406	497
A1	9	0	83.5895892845154	515
A1	9	0	82.9492415892029	515
A1	9	0	81.220005979538	515
A1	9	0	82.2918436346436	515
A1	8	0	83.1660272843933	497
A1	9	0	79.4425214221192	515
A1	8	0	76.6162548091889	497
A1	7	0	77.4122824118042	412
A1	7	0	76.9122432588196	412
A2	7	0	75.2630185437775	881
A2	8	0	69.8771244931793	421
B1	8	0	65.7774799620438	255
B1	8	0	53.0540053083038	255
B1	8	0	44.8762387091065	255
B1	9	0	43.5738935980225	202
B1	8	0	44.0280416605759	255
B1	7	0	44.9857005547333	288
B1	7	0	48.2090055627823	288
B1	9	0	54.5256733555603	202
B1	9	0	60.0213555067444	202
B1	8	0	64.9051963380814	255
B1	8	0	73.0175682859039	255
B1	9	0	80.3019433433533	202
A2	9	0	81.9675133476257	182
A2	9	0	79.0154140847778	182
A1	8	0	78.0035874160004	497
A1	8	0	78.6052922733307	497
A1	9	0	74.135979053421	515
A1	8	0	69.5881363673401	497
A1	8	0	65.742706182785	497
A2	8	0	63.4691785414124	421
A2	8	0	65.9156209274292	421
A2	10	0	70.0662808344269	133
A2	10	0	76.1077331537628	133
A1	8	0	82.4774694500733	497
A1	8	0	81.955311749649	497
A1	7	0	79.2623172358704	412
A1	8	0	79.2702494191742	497
A1	9	0	79.3734652693939	515
A1	9	0	77.6532670442963	515
A1	8	0	75.3703583874512	497
A1	7	0	77.3380318981934	412
A1	7	0	81.3023179522705	412
A1	8	0	80.210804050293	497
A1	7	0	75.0180796496582	412
A1	7	0	72.5012113317871	412
A2	7	0	68.8401423891449	881
A2	8	0	62.9226275419235	421
A2	8	0	57.9170569601822	421
B1	6	0	54.298393936615	250
B1	6	0	51.5237419769287	250
B1	8	0	46.6457678427887	255
B1	10	0	41.1181001742935	193
B1	6	0	36.4957959433746	250
B1	7	0	33.9290697333908	288
B1	7	0	34.7143480588532	288
B1	7	0	36.1198916383743	288
B1	7	0	36.2053604787827	288
B1	6	0	36.1979286233521	250
B1	7	0	38.3161809420776	288
B1	7	0	41.5801472379685	288
B1	7	0	46.3128636245728	288
B1	7	0	52.2000538631058	288
B1	7	0	58.251308030014	288
B1	7	0	62.3591172886276	288
A2	8	0	64.9403482899094	421
A1	7	0	67.9202012649536	412
A1	8	0	70.0363582408142	497
A1	6	0	71.6215809064484	202
A1	7	0	72.2243002677155	412
A2	7	0	73.498493197403	881
A2	8	0	74.2346756941223	421
A1	7	0	74.4981053965759	412
A1	6	0	74.8564338097382	202
A1	8	0	75.0895669827271	497
A1	8	0	75.8183243927002	497
A1	7	0	75.1123580309296	412
A1	7	0	77.5204326293182	412
A1	8	0	79.219167192688	497
A1	8	0	78.0385771229553	497
A1	7	0	74.1735592752838	412
B1	9	0	68.7376435070801	202
B1	9	0	62.5786151727677	202
B1	9	0	54.8451346486664	202
B1	8	0	50.0444220391846	255
B1	8	0	49.942384384079	255
B1	8	0	50.9607841492462	255
B1	9	0	55.6305509270859	202
B1	8	0	62.6417412070465	255
B1	8	0	67.5729423545837	255
A2	8	0	70.4989563053131	421
A2	8	0	72.4698510601044	421
A2	8	0	73.1996075600433	421
A2	8	0	74.6702537401581	421
A1	6	0	78.3847313895416	202
A2	6	0	78.9488041378021	1555
A2	8	0	73.0149712548065	421
A2	7	0	67.5227625763703	881
B1	7	0	63.7998753286362	288
B1	7	0	59.1569390911102	288
B1	7	0	57.6685442941666	288
B1	8	0	59.1981374221802	255
B1	6	0	61.9777956124878	250
A2	7	0	66.4288778823853	881
A1	8	0	71.0023094165039	497
A1	7	0	75.9000402415466	412
A1	8	0	79.718758369751	497
A1	7	0	77.1035621660614	412
A2	8	0	72.8651194281769	421
A1	8	0	70.3709977732849	497
A2	7	0	71.1445939105988	881
A2	8	0	71.9126795384979	421
A2	8	0	69.7199005960083	421
A2	8	0	71.5193876848602	421
A1	6	0	72.9590997699738	202
A1	9	0	71.4703942089844	515
A1	8	0	72.365605541153	497
A1	6	0	72.3195212052918	202
A1	7	0	73.5831453234863	412
A2	6	0	73.5586260231781	1555
A1	9	0	70.2648360276032	515
A2	9	0	68.7783842585754	182
A2	7	0	69.4462368431091	881
A2	9	0	71.2217515610504	182
A2	8	0	72.0659986714935	421
A2	8	0	69.8296674949646	421
A2	8	0	65.2432180619049	421
A2	6	0	64.7067311812592	1555
A2	7	0	63.4544122816849	881
A2	10	0	56.858405394249	133
A2	9	0	52.0837558827591	182
B1	7	0	47.8385219351959	288
B1	9	0	41.7441504827118	202
B1	8	0	41.1631177774048	255
B1	8	0	42.9210457950211	255
B1	6	0	43.7716531490707	250
B1	8	0	47.4082979901123	255
A2	6	0	48.0581807601547	1555
A2	6	0	50.0096539222717	1555
A2	7	0	55.1167750757217	881
A2	7	0	57.6610236076355	881
A2	7	0	64.0105523527145	881
A1	8	0	69.9009521273041	497
A2	8	0	72.342483236618	421
A2	7	0	73.1829466481018	881
A1	10	0	71.3389193811798	823
A2	10	0	68.6196476343536	133
A2	9	0	67.462248445282	182
A2	9	0	65.914125719986	182
A2	8	0	65.494632071228	421
A2	9	0	66.82757551651	182
A2	10	0	66.0211647322846	133
A1	9	0	67.7521547254181	515
A2	8	0	71.1306158850098	421
A2	9	0	74.9934469721222	182
A2	9	0	77.6840452896118	182
A2	8	0	75.728987342453	421
A2	7	0	70.830831082077	881
A2	9	0	65.7026876258087	182
A2	7	0	65.4488682762909	881
A1	6	0	69.1569068891144	202
A2	8	0	75.3266207486725	421
A2	9	0	81.5810139788056	182
A1	9	0	83.2257114822388	515
A1	7	0	80.7055336751556	412
A2	7	0	74.8256338676453	881
A2	7	0	71.047771931839	881
A2	6	0	70.7830329866791	1555
A2	7	0	70.9807076415253	881
A1	7	0	74.0799342159271	412
A1	8	0	77.989401499939	497
A2	7	0	79.6890949253082	881
A1	6	0	78.5508428904724	202
A1	6	0	76.4231716404724	202
A2	6	0	74.518542612381	1555
A2	6	0	72.9627972865295	1555
A2	7	0	74.1861340131378	881
A2	7	0	79.5896229233551	881
A1	8	0	82.2770597481537	497
A2	7	0	80.134591171875	881
A2	7	0	78.7965657814789	881
A2	7	0	77.5393946219635	881
A2	5	0	73.9777482157135	2229
B1	6	0	68.5399721949768	250
B3	6	0	66.2585330280304	283
B3	6	0	69.8473328579712	283
A2	5	0	76.4389946174622	2229
A2	6	0	81.6465446459198	1555
A2	5	0	82.7326680171204	2229
A2	5	0	78.9701286717987	2229
A2	5	0	73.4082170610046	2229
B1	6	0	67.4687056980133	250
B1	6	0	61.0874567868424	250
B3	6	0	54.1391700654984	283
B3	6	0	48.9972525925446	283
B3	5	0	45.8160785852051	1023
B3	5	0	40.7626269009781	1023
B3	5	0	36.2368812755966	1023
B3	5	0	32.9379291643524	1023
B3	4	0	29.0911123601532	2494
B1	6	0	27.1769554112625	250
B3	4	0	27.7544335879898	2494
B3	5	0	27.2032529802704	1023
B3	4	0	25.044027330265	2494
B3	4	0	24.016033234005	2494
B3	4	0	20.8939764860535	2494
B3	4	0	17.6135332740021	2494
B3	4	0	17.5634006566048	2494
B3	7	0	16.9474702026558	54
B3	4	0	16.115533233633	2494
B3	5	0	15.9976815607738	1023
B3	5	0	17.4921209098434	1023
B3	5	0	19.9320743312073	1023
B3	4	0	22.7161554556084	2494
B3	7	0	27.0447591806984	54
B3	4	0	32.2859317516518	2494
B3	4	0	38.4945822541428	2494
B3	4	0	44.2003943706512	2494
B3	4	0	51.3835965365982	2494
B3	4	0	57.1538503682327	2494
A2	3	0	56.3985827528763	1191
A2	5	0	53.8020868914414	2229
A2	5	0	55.563241307106	2229
A2	6	0	61.772647602272	1555
A2	4	0	67.0037019386292	2025
A2	4	0	69.7352564860535	2025
A2	4	0	69.3909156072235	2025
A2	5	0	69.8587729960632	2229
A2	6	0	73.6694745402527	1555
A2	6	0	73.1655101667023	1555
A2	5	0	74.5007275838471	2229
A2	6	0	77.3116012570191	1555
A2	5	0	74.0290380365753	2229
A2	8	0	72.1004422817993	421
A2	6	0	72.2844384931183	1555
A2	6	0	70.4594346100617	1555
A2	6	0	71.1253854760742	1555
A2	7	0	71.6554767009735	881
A2	7	0	69.5076361678314	881
A2	8	0	69.4710752220154	421
A1	5	0	71.909027212143	84
A2	7	0	74.6266521625519	881
A2	7	0	75.2867823209381	881
A1	6	0	76.1000744772339	202
A2	7	0	75.7428317552948	881
A2	6	0	71.0435490688324	1555
A2	8	0	70.0512646851349	421
A2	8	0	72.6921220230866	421
A2	8	0	70.2255171625519	421
A2	7	0	67.88440873703	881
A2	9	0	64.5902848527527	182
A2	8	0	61.5595182896042	421
A2	10	0	62.7468545064163	133
A2	7	0	66.2038507687378	881
A2	8	0	71.1276668991089	421
A2	7	0	72.3375894519806	881
A2	6	0	71.7171971586609	1555
A2	8	0	71.454705124588	421
A2	8	0	70.7247970904541	421
A2	7	0	73.0992018591309	881
A2	7	0	73.3069783854675	881
A2	9	0	69.2647227632904	182
A2	8	0	65.0108197097397	421
A2	7	0	63.0541701413345	881
A2	6	0	62.8937447147751	1555
A2	6	0	62.4896054629898	1555
A2	6	0	65.5546560002899	1555
A2	5	0	67.8766167998505	2229
A2	4	0	67.1869405171967	2025
B3	4	0	63.0933546958923	2494
B3	4	0	55.730966095314	2494
B3	5	0	48.9342063025665	1023
B3	5	0	41.7466552114487	1023
B3	5	0	36.6426877342987	1023
B3	4	0	34.4090369625854	2494
B3	4	0	30.602603652153	2494
B3	5	0	29.327167068615	1023
B3	3	0	28.5708701961517	3156
B3	4	0	28.8076584837151	2494
B3	4	0	30.6381811314392	2494
A2	4	0	30.9776384222984	2025
A2	3	0	32.0202416113091	1191
A2	4	0	32.1543997351074	2025
B3	4	0	32.5103964115143	2494
B3	4	0	31.9022917081261	2494
B3	5	0	31.2404080036354	1023
B3	4	0	34.2245179190063	2494
B3	4	0	36.1295920055008	2494
B3	5	0	36.4457647061157	1023
B3	4	0	31.2913364520836	2494
B3	4	0	26.7247751327515	2494
B3	5	0	29.5307787512398	1023
B3	5	0	30.7966910036278	1023
B3	5	0	31.4193721164131	1023
B3	4	0	33.2064553875732	2494
B3	5	0	34.9714756296921	1023
B3	5	0	37.1621296214676	1023
B3	4	0	42.3518784782028	2494
B3	4	0	47.3219559724808	2494
B3	4	0	49.3241407121658	2494
A2	4	0	54.4741546642685	2025
A2	5	0	59.6547673357773	2229
B3	4	0	62.7750520825958	2494
B3	4	0	63.9056027975082	2494
B3	5	0	60.9213924343872	1023
B3	4	0	57.3224161343002	2494
B3	4	0	54.8176166008759	2494
B3	4	0	55.3356899601746	2494
B3	5	0	53.3102640168762	1023
B3	5	0	48.1321158006287	1023
B3	4	0	43.515930672226	2494
B3	4	0	40.8294291515732	2494
A2	4	0	42.4046109882736	2025
B3	3	0	42.4572376126099	3156
B3	5	0	38.600655893364	1023
B3	6	0	36.8710043848419	283
B3	4	0	38.6329859937668	2494
B3	4	0	39.3047146024704	2494
B3	4	0	39.0151669672012	2494
B3	4	0	42.7878213112259	2494
B3	3	0	48.2885677028656	3156
B3	4	0	54.9838702391052	2494
B3	3	0	62.7149930394364	3156
B3	4	0	69.466510643692	2494
B3	4	0	73.5221520746613	2494
A2	3	0	73.9868560079193	1191
A2	4	0	70.9788715530396	2025
A2	3	0	65.52210805336	1191
A2	4	0	62.1861118439484	2025
A2	5	0	60.6499801793671	2229
A2	5	0	56.421181550026	2229
A2	3	0	53.1473223359299	1191
A2	5	0	52.4514995170975	2229
A2	5	0	46.67092186203	2229
A2	6	0	40.6075475378418	1555
A2	5	0	40.8814202367401	2229
A2	4	0	41.3734431788635	2025
A2	6	0	42.8665425047684	1555
A2	5	0	45.8651005693817	2229
A2	5	0	50.1066412573624	2229
A2	5	0	53.2466554829788	2229
A2	4	0	53.3496358850098	2025
A2	6	0	54.1772231081772	1555
A2	5	0	50.8918886327362	2229
A2	4	0	46.4561625507736	2025
A2	5	0	43.9454199888992	2229
A2	4	0	45.491724292984	2025
A2	6	0	50.2350314878845	1555
A2	4	0	51.0205105124664	2025
A2	5	0	46.7591905986405	2229
A2	5	0	41.4844731067658	2229
A2	5	0	37.9104471566772	2229
B3	4	0	35.421216303215	2494
B3	4	0	31.9445245415497	2494
B3	4	0	33.1202143515396	2494
B3	5	0	35.5010636013794	1023
B3	4	0	38.2247232040787	2494
B3	5	0	41.1747581195068	1023
A2	5	0	42.4906578569794	2229
A2	3	0	45.8743218976212	1191
A2	4	0	51.2282912127686	2025
A2	4	0	55.5287508983231	2025
A2	5	0	61.2133532729721	2229
A2	4	0	66.9245652536774	2025
A2	4	0	71.7951192940521	2025
A2	5	0	74.5180281312561	2229
A2	4	0	76.1111996492005	2025
A2	5	0	78.4191212443542	2229
B3	4	0	78.365397698288	2494
A2	4	0	80.0543993218231	2025
B3	5	0	77.2245296685028	1023
B3	4	0	70.5038521244812	2494
B3	4	0	66.538360864296	2494
B3	5	0	59.435172618599	1023
B3	5	0	52.7082457899475	1023
B3	5	0	47.2308539490891	1023
B3	4	0	41.2607281698608	2494
B3	4	0	39.1748097962189	2494
B3	4	0	41.4168079110336	2494
B3	4	0	42.8945348079682	2494
A2	3	0	48.0738126799393	1191
B3	4	0	56.9241268361282	2494
A2	5	0	62.3279810489273	2229
A2	3	0	62.003646126709	1191
A2	4	0	61.9085290917206	2025
A2	5	0	64.2342319858933	2229
A2	6	0	67.091890628891	1555
A2	5	0	68.9224718139649	2229
A2	5	0	70.9326105311585	2229
A2	5	0	72.304084778595	2229
A2	5	0	75.0805276676178	2229
A2	4	0	77.7787532530212	2025
B3	5	0	75.266716553421	1023
A2	5	0	70.2990329734039	2229
B3	4	0	64.6445852441788	2494
B3	4	0	59.0472780495453	2494
A2	4	0	50.7522860949326	2025
A2	5	0	42.3588629327393	2229
A2	3	0	37.587435862236	1191
B3	3	0	34.2937682103729	3156
B3	4	0	27.9944837663651	2494
B3	4	0	24.7964913913727	2494
B3	2	0	23.5538060237122	1378
B3	3	0	20.5792015974808	3156
B3	5	0	21.1566514482689	1023
B3	4	0	22.0689664392853	2494
A2	2	0	23.1654854454613	282
B3	4	0	28.2472155682755	2494
B3	3	0	29.4076574710655	3156
B3	3	0	29.8591304703331	3156
B3	4	0	34.241207501297	2494
B3	3	0	35.2796121708298	3156
B3	2	0	35.980570525322	1378
B3	3	0	43.1696566553497	3156
A2	3	0	52.9161324557114	1191
A2	3	0	58.3177601126862	1191
A2	4	0	60.4835984601975	2025
A2	4	0	62.9932210005951	2025
A2	6	0	65.3140374156189	1555
A2	3	0	64.0474305586243	1191
A2	3	0	59.8098233824539	1191
B3	3	0	56.1060819932556	3156
B3	4	0	53.3262569179153	2494
A2	4	0	50.8581139175797	2025
A2	3	0	50.0490007987976	1191
B3	4	0	45.5090245266342	2494
B3	3	0	36.0729740521622	3156
B3	4	0	33.4135943766785	2494
B3	3	0	31.3847895460701	3156
B3	4	0	25.8802012128258	2494
B3	2	0	23.3935262897873	1378
B3	4	0	20.2426062252045	2494
B3	4	0	16.7721183891296	2494
A2	3	0	17.3552266050911	1191
A2	2	0	17.6542027857971	282
A2	3	0	13.5337109149551	1191
B3	3	0	14.4747795847511	3156
B3	2	0	19.8112563812447	1378
B3	3	0	20.9573657600403	3156
B3	4	0	17.8971544809532	2494
B3	3	0	14.640301433754	3156
B3	3	0	12.5037481325626	3156
B3	3	0	11.2297166182041	3156
B3	4	0	11.3452159851742	2494
A2	3	0	12.0639323029614	1191
B3	3	0	14.9279438478374	3156
B3	3	0	15.8679157788467	3156
B3	5	0	15.3834333480358	1023
B3	3	0	12.3493741359329	3156
B3	3	0	9.14501550049782	3156
B3	4	0	9.80589082789421	2494
B3	4	0	11.2164012482738	2494
B3	4	0	15.2206029469776	2494
B3	3	0	16.0649741307354	3156
B3	3	0	13.6816783931255	3156
B3	4	0	14.5542206041336	2494
B3	4	0	15.1928123175144	2494
B3	4	0	15.6409529017544	2494
B3	4	0	18.437689511013	2494
B3	3	0	18.5656491232109	3156
B3	5	0	18.6121819035721	1023
B3	2	0	22.0003513639069	1378
B3	4	0	24.4003540405464	2494
B3	4	0	25.2409851434517	2494
B3	3	0	27.0832211526299	3156
B3	3	0	28.8482827461815	3156
B3	4	0	30.8459072624207	2494
B3	4	0	34.976644560585	2494
B3	4	0	40.5688289247513	2494
B3	3	0	48.1073507129669	3156
B3	4	0	54.0559117529297	2494
A2	3	0	59.171079185791	1191
A2	3	0	57.4704163951492	1191
B3	4	0	52.3178578190231	2494
B3	4	0	43.9997062397385	2494
B3	3	0	37.3385784264755	3156
B3	5	0	35.2726313900375	1023
B3	4	0	31.9186347718239	2494
B3	3	0	27.0494105738831	3156
B3	4	0	25.5079476229668	2494
B3	3	0	27.5338646939087	3156
B3	5	0	27.0250432632637	1023
B3	4	0	30.4853865512276	2494
B3	3	0	34.1159388311005	3156
B3	4	0	36.2959085338211	2494
B3	4	0	42.4805169005585	2494
B3	4	0	46.9804857230377	2494
B3	5	0	49.7920603722	1023
B3	3	0	54.3841628498459	3156
B3	4	0	60.9303513462067	2494
A2	4	0	66.8304610414887	2025
A2	4	0	69.2717658984375	2025
A2	4	0	70.6647872716522	2025
A2	5	0	70.0198064598847	2229
A2	5	0	66.847192509079	2229
A2	4	0	64.4025031632996	2025
B3	5	0	59.6406844987106	1023
B3	4	0	50.5440745844269	2494
B3	4	0	42.2916959830856	2494
B3	3	0	34.902133116169	3156
B3	5	0	30.4033210079002	1023
B3	4	0	25.9543632645607	2494
B3	4	0	17.9686987845516	2494
B3	6	0	13.7097941451359	283
B3	4	0	13.791189934721	2494
B3	5	0	14.5839117331505	1023
B3	4	0	15.1792047852612	2494
B3	5	0	16.248584888792	1023
B3	5	0	13.6351776505375	1023
B3	4	0	12.9646237576866	2494
B3	4	0	12.1506650609684	2494
B3	3	0	10.7162306934643	3156
B3	4	0	12.7777097379398	2494
B3	4	0	9.38950518291473	2494
B3	4	0	9.13798800544739	2494
B3	5	0	9.91327280407905	1023
B3	6	0	9.04456682530403	283
B3	4	0	10.9376999983692	2494
B3	4	0	15.6939592705822	2494
B3	4	0	12.3445645514584	2494
B3	6	0	9.84423745495796	283
B3	6	0	11.5486458511829	283
B3	3	0	8.54389856247425	3156
B3	4	0	7.19268298072338	2494
B3	3	0	13.2806018856049	3156
A2	3	0	17.0698287521648	1191
A2	3	0	11.9488993004894	1191
A2	4	0	11.4875814738941	2025
B3	4	0	13.8148979651928	2494
A2	4	0	14.5802131019115	2025
A2	3	0	14.9183360148907	1191
A2	3	0	15.1953981845665	1191
A2	5	0	14.5768956529617	2229
A2	4	0	14.9271208204651	2025
A2	5	0	15.9972454411316	2229
B3	3	0	13.9887170803261	3156
B3	4	0	15.546184551506	2494
