cond	exp	dln
10 min	Exp.3	0.518698514889419
10 min	Exp.3	0.581427098629421
10 min	Exp.3	0.630242039921829
10 min	Exp.3	0.549236020629178
10 min	Exp.3	0.682052657166098
10 min	Exp.3	0.569556742468692
10 min	Exp.3	0.610251157043135
10 min	Exp.3	0.634610620486408
10 min	Exp.3	0.705086302710998
10 min	Exp.3	0.570976330555189
10 min	Exp.3	0.55344016921211
10 min	Exp.3	0.583799973121807
10 min	Exp.3	0.586430049086301
10 min	Exp.3	0.53906198294081
10 min	Exp.3	0.747960488064924
10 min	Exp.3	0.599068509887604
10 min	Exp.3	0.578728518055328
10 min	Exp.3	0.676365459049353
10 min	Exp.3	0.568162589643754
10 min	Exp.3	0.571714267292732
10 min	Exp.3	0.531501674504837
10 min	Exp.3	0.521143256342474
10 min	Exp.3	0.530382465173266
10 min	Exp.3	0.534013723694361
10 min	Exp.3	0.607193121707085
10 min	Exp.3	0.518139846013268
10 min	Exp.3	0.640325179402891
10 min	Exp.3	0.562959469198471
10 min	Exp.3	0.538886950923291
10 min	Exp.3	0.679396578004967
10 min	Exp.3	0.531621968761784
10 min	Exp.3	0.42671653568034
10 min	Exp.3	0.79577888272958
10 min	Exp.3	0.558254679647392
10 min	Exp.3	0.642271843827691
10 min	Exp.3	0.435991092538724
10 min	Exp.3	0.489243096871853
10 min	Exp.3	0.518961846464016
10 min	Exp.3	0.642326750389419
10 min	Exp.3	0.604920284236622
10 min	Exp.3	0.660222977082946
10 min	Exp.3	0.619478366982087
10 min	Exp.3	0.590423495786898
10 min	Exp.3	0.514417211961819
10 min	Exp.3	0.563195887525918
10 min	Exp.3	0.57006103515625
10 min	Exp.3	0.593113358618332
10 min	Exp.3	0.543592873177
10 min	Exp.3	0.598702996806406
10 min	Exp.3	0.531696895341122
10 min	Exp.3	0.594845760549411
10 min	Exp.3	0.520637085390164
10 min	Exp.3	0.565590357027724
10 min	Exp.3	0.536912057137652
10 min	Exp.3	0.582317251978377
10 min	Exp.3	0.481793444123548
10 min	Exp.3	0.594738035785227
10 min	Exp.3	0.562832403247422
10 min	Exp.3	0.580185109610538
10 min	Exp.3	0.585736707006951
10 min	Exp.3	0.525543334728653
10 min	Exp.3	0.564756303696312
10 min	Exp.3	0.463545155916307
10 min	Exp.3	0.455023850518053
10 min	Exp.3	0.583901270163845
10 min	Exp.3	0.530820805104899
10 min	Exp.3	0.61006103515625
10 min	Exp.3	0.6001833467493
10 min	Exp.3	0.59763375167521
10 min	Exp.3	0.578721094955288
10 min	Exp.3	0.601696023139206
10 min	Exp.3	0.633418968424503
10 min	Exp.3	0.631055715225667
10 min	Exp.3	0.422313062845279
10 min	Exp.3	0.552061435726677
10 min	Exp.3	0.506299774203146
10 min	Exp.3	0.544166958383089
10 min	Exp.3	0.545494647959842
10 min	Exp.3	0.554398764538761
10 min	Exp.3	0.668373727305083
10 min	Exp.3	0.682436322874295
10 min	Exp.3	0.621731501623927
10 min	Exp.3	0.581854671643278
10 min	Exp.3	0.664713629936773
10 min	Exp.3	0.554265800859838
10 min	Exp.3	0.67993896484375
10 min	Exp.3	0.614873003191409
10 min	Exp.3	0.606036715901479
10 min	Exp.3	0.561902026522081
10 min	Exp.3	0.600064535206066
10 min	Exp.3	0.635531310208302
10 min	Exp.3	0.578782466360312
10 min	Exp.3	0.643447427847439
10 min	Exp.3	0.636097837357874
10 min	Exp.3	0.6
10 min	Exp.3	0.594834405613794
10 min	Exp.3	0.625511640344961
10 min	Exp.3	0.602449271218105
10 min	Exp.3	0.61851061887871
10 min	Exp.3	0.565578299750727
10 min	Exp.3	0.635900018518078
10 min	Exp.3	0.607026531031347
10 min	Exp.3	0.612838048436126
10 min	Exp.3	0.513215984451733
10 min	Exp.3	0.652483728833669
10 min	Exp.3	0.663565510374981
10 min	Exp.3	0.59855699734786
10 min	Exp.3	0.557591211780362
10 min	Exp.3	0.679728101865059
10 min	Exp.3	0.573203874862038
10 min	Exp.3	0.625659690445879
10 min	Exp.3	0.566514401527571
10 min	Exp.3	0.625253236094046
10 min	Exp.3	0.637329794575137
10 min	Exp.3	0.55612037261365
10 min	Exp.3	0.549269225288767
10 min	Exp.3	0.496982035114419
10 min	Exp.3	0.527250688780565
10 min	Exp.3	0.52
10 min	Exp.3	0.563130918488414
10 min	Exp.3	0.640872115014105
10 min	Exp.3	0.54437325530464
10 min	Exp.3	0.632364577355276
10 min	Exp.3	0.614432888766366
10 min	Exp.3	0.656176609485887
10 min	Exp.3	0.608945806570262
10 min	Exp.3	0.627593234989348
10 min	Exp.3	0.647275645860485
10 min	Exp.3	0.613064917089482
10 min	Exp.3	0.582895676208251
10 min	Exp.3	0.568728243854314
10 min	Exp.3	0.564154028350891
10 min	Exp.3	0.668746668241499
10 min	Exp.3	0.62021051372762
10 min	Exp.3	0.620169823617117
10 min	Exp.3	0.567996645833013
10 min	Exp.3	0.65
10 min	Exp.3	0.555280299450218
10 min	Exp.3	0.563979634714815
10 min	Exp.3	0.586352485200846
10 min	Exp.3	0.563287222535652
10 min	Exp.3	0.650086600408933
10 min	Exp.3	0.602169104191818
10 min	Exp.3	0.612216337629116
10 min	Exp.3	0.569640626953157
10 min	Exp.3	0.557294207264131
10 min	Exp.3	0.553358335556336
10 min	Exp.3	0.708643349426835
10 min	Exp.3	0.60475437260323
