comp	GPSeq
B1	1
A1	0.867276877818395
A1	0.892728435499424
A1	1
A1	1
A1	1
A1	1
A1	1
A1	1
A1	0.742686848147934
A1	1
A1	0.80361457061749
A1	1
A1	1
A1	0.955530200352283
A1	1
A1	0.934010916700212
B1	1
B1	1
B1	0.977832124503912
B1	1
B1	1
B1	0.974661054906123
B1	0.819985353108131
B1	0.916906173956155
B1	1
B1	1
B1	0.898288133070184
B1	1
B1	0.742023627945612
A1	0.690516553801749
A1	0.762372645977486
B1	0.637136366840114
B1	0.674125025272458
B1	0.702740014240536
B1	0.699920038845344
B1	0.733699970005018
B2	0.741965203809579
B1	0.648659347502602
B2	0.721511791405796
B1	0.699880735583164
B2	0.691022596326005
B2	0.58402709495917
B2	0.581259688172591
B1	0.645231216056126
B1	0.504015443037063
B2	0.673071246787048
B1	0.668784440861899
B1	0.630387902412899
B1	0.622169364099647
B1	0.709095794626181
B1	0.799887867366773
B1	0.741693063227301
B1	0.684524253358059
B1	0.840125097067905
A1	0.595154702597028
A1	0.985797875338825
A1	0.805178697081839
A1	0.817977048071475
A1	0.827202991535194
A1	0.729448359722283
A1	0.680064014691393
A2	0.672725703797146
B1	0.855652264253748
B1	0.743947050262034
B1	0.592662503798068
B1	0.740413515755224
B1	0.739315402308826
B1	0.857821515549301
B1	0.725146206304062
A2	0.747004759796036
A1	0.649164778247569
A1	0.718003863400229
A2	0.549793569924676
A2	0.668108324950506
A1	0.722370922823648
A2	0.671407738143212
A2	0.829246625088034
A2	0.664035625310326
A2	0.612882638087799
A2	0.617332395990814
A1	0.583509858057997
A1	0.76862259906513
A1	0.624072738085012
A1	0.661930390853741
A1	0.943661009393043
A2	0.808726798474549
A1	0.760519920584631
A1	0.714340302005413
A1	0.714906932458417
A1	0.813718921925371
A1	0.679615554577632
A1	0.777273867770329
A1	0.64489181838426
A1	0.838975312110406
A1	0.640639327996018
A1	0.68151367956703
A1	0.84683648042799
A1	0.674779305646888
A1	0.802397689688417
A2	0.892986501445029
A1	0.848500104142923
A1	0.87411020924934
A1	0.926337399294337
A1	0.758218943341914
A1	0.788714337037112
A1	0.805913626376081
A2	0.797823142077751
B1	0.801611208480244
B1	0.792791011871523
A1	0.832837573467439
A1	0.755825681821488
A1	0.685843781345191
A1	0.790868018548686
A2	0.786409345079216
A2	0.710300038867264
A2	0.522504003125034
A2	0.564597714580218
A2	0.627863818053868
A2	0.697466558648945
B1	0.531111251008508
B1	0.557667719278548
B1	0.980114571556448
B3	0.694444023936964
B1	0.779036081635646
B3	0.47273100440065
A2	0.53685364404366
B1	0.607147027426199
A2	0.523523831348729
A2	0.474804774290244
B1	0.626946792723367
B1	0.48573186666277
B1	0.523586781529798
B1	0.582637584383808
B1	0.490764317524246
B1	0.524808633180507
B1	0.567772148776187
B1	0.584278732705206
B1	0.481566087237856
B1	0.606209892168977
B1	0.686847575838981
B1	0.637850362329145
A2	0.590228788966774
A2	0.725141973559832
A2	0.623328965975419
A2	0.641495860023389
A2	0.686863316452555
A1	0.778912544799283
A1	0.726681239080817
A1	0.754228111032481
A1	0.837969946444597
A1	0.689574131357734
A2	0.869808097890384
A1	0.861535510768613
A1	0.802821328204271
A1	0.62313289539108
A1	0.822849720648293
A1	0.734936920950065
A1	1
A1	0.873944489400653
A2	1
A1	0.889136898054681
A1	0.88769602186639
A2	0.950470846647233
B1	0.931018021353838
A1	0.924025701072383
A1	0.872985643886668
A1	0.903866268460332
A2	0.802757100469573
B1	0.811246562093738
B1	0.864333172977781
B1	0.842806902713169
B1	0.764420678153926
B1	0.752527268897308
B1	0.919997297503966
B1	0.967304600795842
B1	0.892802459293387
B1	0.896202106300111
B1	0.844053810312744
B1	0.863026483712568
B1	0.87654558021282
B1	0.87237524771934
B1	0.950581350695775
A2	0.976924330268963
A1	0.893964855505949
A1	0.942899304684299
A1	0.73669093688206
A1	0.662563788467707
A1	0.736968594887947
A1	0.704728511571051
A1	0.74141222223004
B1	0.643853781225567
B1	0.780802360268038
B1	0.878493923930294
B1	0.764893140560272
B1	0.899777295556413
B1	0.879039589345651
A2	0.781769616815619
A1	0.836296002793786
A1	0.816271072724383
A1	0.570001847631732
A1	0.602929613288702
A1	0.576584670776133
A1	0.845295038298331
A2	0.868591345098538
A2	0.779324244780755
A1	0.774276339777912
A2	0.842797995023858
A2	1
A1	0.733871698151846
A1	1
A1	0.800506351903605
A1	0.804695343289297
A2	0.808843566230527
A2	0.89589782534768
A2	0.761364663616318
A2	0.826781857849105
A2	0.97863959518181
A2	0.852407186503659
A2	0.840250971226927
A1	0.885956999357432
A2	0.847462280991913
A1	0.596498337443354
A1	0.722607659477435
A1	0.707653485964388
A1	0.744668137229901
A1	0.824829765071191
A1	0.856781132555099
A1	0.796406415573134
A1	0.965448090411854
A1	0.867827947046082
A1	0.84944142349329
A1	0.806817133439438
A2	0.884382980904809
A1	0.722448584076223
A1	0.889496062189479
A2	0.659544073205789
A1	0.787601400409104
A1	0.678180170822939
A1	0.728525751735545
A1	0.836596405359353
A2	0.896149358084326
A2	0.784941132919469
A2	0.838920987694597
A1	0.846712019044384
A1	1
A1	0.759900782828997
A1	0.813917208208556
A1	0.809064931095973
A1	0.883532286393894
A1	0.690809373091595
A1	0.825678513496972
A1	0.870516366960873
A1	0.810335392584703
A1	0.921314525690501
A1	0.801154956947323
A1	0.809282628470037
A1	0.867489970356601
A1	0.739619755270754
A1	0.726279041370807
A1	0.769529479274245
A1	0.993392283062089
A1	0.821536061758069
A1	0.819366270911163
A1	0.706020406512089
A1	1
A1	0.800649218344109
A1	0.854734509472512
A1	0.756839377433952
A1	0.734992789040513
A1	0.831628256995585
A1	0.756043508232042
A1	0.744633784448072
A1	0.669825131177097
A1	0.743677257593198
A1	0.876825679546227
A1	0.817760955077221
A1	0.883525941314361
A1	0.862134088707625
A1	0.775010694603186
A1	0.824910945318636
A1	0.723173554527073
A1	0.692005803981995
A1	0.637580188462182
A2	0.651702872965786
A2	0.789141206989879
B1	0.768467056526735
B1	0.855584086152451
B1	0.842099416583677
B1	0.758145756917433
B1	0.762029024397991
B1	0.879982666623053
B1	0.78892459571782
B1	0.609862014704826
B1	0.682710412713227
B1	0.852806566377756
B1	0.80890517802265
B1	0.759640836143853
B1	0.767393631844744
B1	0.845497499686374
A2	0.881176011166251
A2	0.818817770282374
A1	0.708891889879845
A1	0.75703717462473
A1	0.812581327186072
A1	0.704611445115805
A1	0.704360862952037
A2	0.74647123072535
A2	0.763145538902723
A2	0.911953171057182
A2	0.910413726066657
A1	0.780140984613623
A1	0.775256952952842
A1	0.627091969563587
A1	0.79673936522843
A1	0.838426941140772
A1	0.864434211808249
A1	0.768976479387625
A1	0.664828304012608
A1	0.656167336258134
A1	0.711979625948576
A1	0.699972305623425
A1	0.63150071154067
A2	0.64228098335962
A2	0.792834874931914
A2	0.781403662711081
B1	0.531321501831662
B1	0.555635402721897
B1	0.786272626320824
B1	0.902735087063734
B1	0.592628106514082
B1	0.67686560943541
B1	0.66843613079866
B1	0.671809989905013
B1	0.601266386064979
B1	0.592998032336723
B1	0.623902511475563
B1	0.656676167003511
B1	0.601507991805943
B1	0.657951906593122
B1	0.656926727118078
B1	0.620686821836201
A2	0.736709267676065
A1	0.651916439820269
A1	0.735256571918415
A1	0.586269652351573
A1	0.627816680561088
A2	0.643079192591183
A2	0.708492393367054
A1	0.660127591258348
A1	0.540228284574762
A1	0.717140287710842
A1	0.751431486484737
A1	0.662163158446833
A1	0.635179812018305
A1	0.782914708660665
A1	0.721611494837995
A1	0.693354825597699
B1	0.895159560195202
B1	0.84327017171546
B1	0.847563545750282
B1	0.763386890050252
B1	0.758203927325303
B1	0.711041152642419
B1	0.823033376962579
B1	0.792634685140016
B1	0.738263117830409
A2	0.791283794105883
A2	0.740018847933249
A2	0.720620926478703
A2	0.728274964081229
A1	0.592217797364525
A2	0.590355640338532
A2	0.756304090049948
A2	0.660891965764068
B1	0.698002090279618
B1	0.648512780701208
B1	0.695710918319987
B1	0.704592917003374
B1	0.596882452261323
A2	0.694851589165955
A1	0.728425013258172
A1	0.622358131640423
A1	0.707792929117475
A1	0.629678577596508
A2	0.713406178279573
A1	0.700351636602044
A2	0.672278199386258
A2	0.790127752351334
A2	0.789614209941577
A2	0.783555289024769
A1	0.597450074049688
A1	0.847127370039557
A1	0.739014367227994
A1	0.570266589109225
A1	0.636163089578576
A2	0.599927473099015
A1	0.855320356821263
A2	0.842811313071097
A2	0.664434710363286
A2	0.820566507701846
A2	0.777291202663624
A2	0.737192350516767
A2	0.721255772787441
A2	0.559198181444061
A2	0.698510357862754
A2	0.930136576281725
A2	0.852022702457497
B1	0.645144883239568
B1	0.849248269109534
B1	0.744447309038221
B1	0.710378933877215
B1	0.553416806642546
B1	0.707490699152792
A2	0.597687670009363
A2	0.581641415483454
A2	0.640666448961253
A2	0.619942835146963
A2	0.666108995711364
A1	0.719576202522704
A2	0.730142475695183
A2	0.653941287220011
A1	0.916584667522173
A2	0.980808049655606
A2	0.824152860120289
A2	0.826029566380325
A2	0.777195726533602
A2	0.831602662165451
A2	0.958551517312042
A1	0.816119978362995
A2	0.727363541152658
A2	0.890065031896707
A2	0.808975731019108
A2	0.735207063450471
A2	0.635951055559994
A2	0.852026759795574
A2	0.689892422367127
A1	0.561843964872157
A2	0.746651649423927
A2	0.840142834249116
A1	0.829801628329641
A1	0.641760800321411
