cond	contrast
10 min	1.16467292875817
10 min	1.17810810775194
10 min	1.26102643523012
10 min	1.23802603638432
10 min	1.11752314135814
10 min	1.23087209692938
10 min	1.19214378204259
10 min	1.20040417328425
10 min	1.23102544297786
10 min	1.27777960761254
10 min	1.23227682411367
10 min	1.26630813982334
10 min	1.2370302874674
10 min	1.19168498865638
10 min	1.22318059714775
10 min	1.20661712179924
10 min	1.22983118126355
10 min	1.21929473723391
10 min	1.1853006600761
10 min	1.18471687232752
10 min	1.21712963030623
10 min	1.21818614550282
10 min	1.18548501009137
10 min	1.24864937241688
10 min	1.24108313787558
10 min	1.22073066512743
10 min	1.19507571930905
10 min	1.21080706672936
10 min	1.25115460511169
10 min	1.21738260120391
10 min	1.34659381443828
10 min	1.28488161762367
10 min	1.16971221452811
10 min	1.21009701806031
10 min	1.12701462947578
10 min	1.23848770344166
10 min	1.20453600955913
10 min	1.21843786421391
10 min	1.1944399093038
10 min	1.19936721101454
10 min	1.16545084689566
10 min	1.22593313857583
10 min	1.22937133181454
10 min	1.2570461045102
10 min	1.22123870968058
10 min	1.28198470121663
10 min	1.23649209890204
10 min	1.22761216107459
10 min	1.24189287341484
10 min	1.22494063276062
10 min	1.21510395873212
10 min	1.21719725218135
10 min	1.21476594589759
10 min	1.23180402471022
10 min	1.153313398179
10 min	1.18863595021829
10 min	1.23936628654903
10 min	1.21390406345724
10 min	1.21876972206496
10 min	1.22118478004495
10 min	1.20513131438391
10 min	1.24300455009471
10 min	1.18604311296312
10 min	1.20359424043201
10 min	1.21790588150406
10 min	1.20622255429089
10 min	1.23168621265555
10 min	1.2222851835606
10 min	1.24073632640836
10 min	1.20679633984462
10 min	1.17051521189161
10 min	1.16087414340936
10 min	1.21642643292904
10 min	1.16159052537136
10 min	1.15482993219405
10 min	1.24504789250047
10 min	1.26700566672337
10 min	1.22410447623791
10 min	1.1575975815071
10 min	1.26344916059222
10 min	1.21601102242981
10 min	1.24215710407887
10 min	1.20107638884516
10 min	1.16060261470044
10 min	1.17689161247082
10 min	1.16800098639246
10 min	1.22370382398842
10 min	1.20820303573026
10 min	1.23593689878965
10 min	1.17932558226
10 min	1.17590616222609
10 min	1.23996936730886
10 min	1.21009362835399
10 min	1.18649405833735
10 min	1.19672837718753
10 min	1.21037321478026
10 min	1.19030559606087
10 min	1.28567581284705
10 min	1.20539279234507
10 min	1.18163763316809
10 min	1.17242876946599
10 min	1.21400292602137
10 min	1.19471221413334
10 min	1.2248766099439
10 min	1.24645661004979
10 min	1.2520638972652
10 min	1.21746636333729
10 min	1.1860902660343
10 min	1.24355176634282
10 min	1.26070276586246
10 min	1.23678221635296
10 min	1.27130662245572
10 min	1.18450396233588
10 min	1.27824468331209
10 min	1.19171693648285
10 min	1.25846895375564
10 min	1.2443001600462
10 min	1.18881252534136
10 min	1.24275184374761
10 min	1.24744375213323
10 min	1.26088221474356
10 min	1.19728072473237
10 min	1.22500447868039
10 min	1.23396343747708
10 min	1.22278401830725
10 min	1.23102391809808
10 min	1.21541202818551
10 min	1.14915684754308
10 min	1.22080147899928
10 min	1.17455057124103
10 min	1.14147398008501
10 min	1.24629415581411
10 min	1.21968153047189
10 min	1.24376148560696
10 min	1.20575346236186
10 min	1.1926625029659
10 min	1.19284380253572
10 min	1.24925611194335
10 min	1.16975863312693
10 min	1.23331185775984
10 min	1.26395703026716
10 min	1.23043627979799
10 min	1.2201305697296
10 min	1.24618215212875
10 min	1.2069806476942
10 min	1.17579978439103
10 min	1.22663928977838
10 min	1.19469267023285
10 min	1.18252267154997
10 min	1.21007361031529
10 min	1.25275490187812
10 min	1.36380852407297
10 min	1.14791964724024
10 min	1.19940516090709
10 min	1.19321537342496
10 min	1.1557733485567
10 min	1.25606903544177
10 min	1.22361123606462
10 min	1.21320936281329
10 min	1.2192219011923
10 min	1.1639902745414
10 min	1.21893693569149
10 min	1.16903789580184
10 min	1.17758308086316
10 min	1.22947044687731
10 min	1.18921747745471
10 min	1.18218353408999
10 min	1.20125325230813
10 min	1.25523837496025
10 min	1.24278924143814
10 min	1.22028624884607
10 min	1.20394726298667
10 min	1.20484456444145
10 min	1.22419160054794
10 min	1.2000346855574
10 min	1.23033758879746
10 min	1.23933925239432
10 min	1.2525730067888
10 min	1.22650757526026
10 min	1.24612592291515
10 min	1.20364284285643
10 min	1.23823201706711
10 min	1.20827800648011
10 min	1.25109531648989
10 min	1.22448876620147
10 min	1.25631052710811
10 min	1.24524279712397
10 min	1.2751236466006
10 min	1.23244839137286
10 min	1.24619349423327
10 min	1.2198119495648
10 min	1.27634988455626
10 min	1.22563343680416
10 min	1.23019147607948
10 min	1.1935854069802
10 min	1.22151465307899
10 min	1.22624170239848
10 min	1.2458404001599
10 min	1.23730784326193
10 min	1.2005335631642
10 min	1.21978081681235
10 min	1.22455421227185
10 min	1.24699205673811
10 min	1.26184743076683
10 min	1.19714954347441
10 min	1.22638240478585
10 min	1.20489732178838
10 min	1.22015995378437
10 min	1.19595769409612
10 min	1.20947135255663
10 min	1.19370821639005
10 min	1.21182975873912
10 min	1.20639984765004
10 min	1.2298776378601
10 min	1.20669560436074
10 min	1.20367354817804
10 min	1.14617075437137
10 min	1.23040879578271
10 min	1.19527112411994
10 min	1.24073879777893
10 min	1.15716908378201
10 min	1.16953589849691
10 min	1.20867984160203
10 min	1.2610284083603
10 min	1.16629388755124
10 min	1.21680954423844
10 min	1.18973752515249
10 min	1.3525633958701
10 min	1.19999670239917
10 min	1.22367377190329
10 min	1.2265406942503
10 min	1.20503775920034
10 min	1.2300074506217
10 min	1.21461617168272
10 min	1.21614125820659
10 min	1.25076531174324
10 min	1.1910844401748
10 min	1.2251159330418
10 min	1.21879683901078
10 min	1.23713446857548
10 min	1.22418018684697
10 min	1.24779612901311
10 min	1.23988039514816
10 min	1.2227396417771
10 min	1.18605379761228
10 min	1.24300129797108
10 min	1.20366414281238
10 min	1.19115183829897
10 min	1.24076825062443
10 min	1.07750483745521
10 min	1.06135520911068
10 min	1.00096572207912
10 min	1.00903887908317
10 min	1.03888361918498
10 min	1.05245252013662
10 min	1.12944448429008
10 min	1.03659918570584
10 min	
10 min	1.21298234779403
10 min	1.21852498100395
10 min	1.21223447376903
10 min	1.18432728982831
10 min	1.19835364547328
10 min	1.18754287383402
10 min	1.16579806292026
10 min	1.18125858653569
10 min	1.14317129588461
10 min	1.17029032609655
10 min	1.19334192952684
10 min	1.20603755047418
10 min	1.2154099699008
10 min	1.21154810781495
10 min	1.1259275714031
10 min	1.182151693963
10 min	1.23412481858078
10 min	1.23511261350203
10 min	1.24173374714086
10 min	1.18934911398678
10 min	1.22057480984821
10 min	1.16101191823983
10 min	1.20306160631605
10 min	1.15483829269822
10 min	1.11760963002353
10 min	1.18415698197954
10 min	
10 min	1.20380862375608
10 min	1.183644694851
10 min	1.2334562814171
10 min	1.13908518908902
10 min	1.08141877116708
10 min	1.15975857405416
10 min	1.16111499497687
10 min	1.16696495254374
10 min	1.20951878187505
10 min	1.18132900736729
10 min	1.17116058135334
10 min	1.20307650473719
10 min	1.20138243459567
10 min	1.22651686154324
10 min	1.21522055217324
10 min	1.19458604746634
10 min	1.18982074065375
10 min	1.21460941242985
10 min	1.19020586851608
10 min	1.19916926387453
10 min	1.19916149115643
10 min	1.23402160744986
10 min	1.21302299420436
10 min	1.26124125098372
10 min	1.18933634044235
10 min	1.2224728906965
10 min	1.24164426188883
10 min	1.24178465747902
10 min	1.24882361981904
10 min	1.23010406510097
10 min	1.21680860757757
10 min	1.20952800878094
10 min	1.21437319997253
10 min	1.21345498704714
10 min	1.21910426654412
10 min	1.17133727927779
10 min	1.2091077038161
10 min	1.18753039036675
10 min	1.195062733002
10 min	1.21032198767944
10 min	1.19730073990316
10 min	1.15897320818998
10 min	1.21539304407493
10 min	1.23959217730244
10 min	1.17784861300063
10 min	1.14989350845895
10 min	1.29697771356191
10 min	1.21119309562379
10 min	1.22231598007422
10 min	1.21847622038772
10 min	1.23046491328701
10 min	1.22349001325038
10 min	1.2213701694956
10 min	1.28478965201701
10 min	1.22034099034803
10 min	1.24316107773968
10 min	1.25571178566862
10 min	1.06342861507655
10 min	1.20230171421602
10 min	1.28499003170792
10 min	1.24333993926278
10 min	1.24468947636227
10 min	1.27996142399975
10 min	1.27417033759683
10 min	1.24644152622395
10 min	1.23654771902078
10 min	1.26238822746186
10 min	1.24648025227776
10 min	1.25316926567711
10 min	1.27189691199644
10 min	1.19365329191569
10 min	1.22451921759619
10 min	1.19789938037757
10 min	1.20169760779404
10 min	1.20038093657093
10 min	1.26800720123772
10 min	1.2685918205001
10 min	1.24364975248976
10 min	1.24635007211182
10 min	1.2182334183156
10 min	1.17688369638908
10 min	1.15247782926459
10 min	1.19097155010704
10 min	1.20220745832323
10 min	1.21272530149839
10 min	1.22440671772089
10 min	1.19867229519176
10 min	1.19369894808513
10 min	1.20181503443284
10 min	1.20775305131939
10 min	1.21495020507227
10 min	1.21649695739081
10 min	1.09457642936365
10 min	1.19896967123051
10 min	1.23111470728445
10 min	1.16549851433628
10 min	1.16216031519282
10 min	1.19405202073031
10 min	1.2005223908603
10 min	1.15437113415506
10 min	1.12661633960787
10 min	1.0979205796842
10 min	1.18928863144691
10 min	1.20426801027714
10 min	1.23584301930179
10 min	1.24058598937405
10 min	1.20267066996634
10 min	1.14929751641075
10 min	1.15096526944739
10 min	1.20764240747231
10 min	1.1624600746307
10 min	1.20236390731901
10 min	1.17924205334094
10 min	1.25644728702276
10 min	1.16568278433597
10 min	1.17817928897358
10 min	1.15844219101812
10 min	1.1925189972731
10 min	1.17778800371957
10 min	1.18603976005829
10 min	1.18467819141899
10 min	1.29180143588758
10 min	1.12993190352135
10 min	1.20077457551849
10 min	1.26287589062897
10 min	1.21164548352292
10 min	1.1644123018544
10 min	1.21877424296443
10 min	1.19043884236273
10 min	1.21265781306753
10 min	1.16377179717301
10 min	1.20051571465764
10 min	1.25971587790481
10 min	1.17649656320255
10 min	1.21861076987979
10 min	1.23536938177947
10 min	1.18796681865974
10 min	1.23084125461611
10 min	1.20870834595046
10 min	1.25936197351603
10 min	1.24282116789447
10 min	1.20616016675625
10 min	1.17636055486285
10 min	1.17543485462526
10 min	1.20297084473006
10 min	1.23873391346782
10 min	1.20855449329023
10 min	1.1958085894488
10 min	1.18093142027433
10 min	1.21261570655126
10 min	1.22238604201634
10 min	1.222169986698
10 min	1.22423899523182
10 min	1.21950636954318
10 min	1.23276900157234
10 min	1.22508341575968
10 min	1.24232362863081
10 min	1.19974995255549
10 min	1.19675634442951
10 min	1.23381028696807
10 min	1.18810696953156
10 min	1.17283864471925
10 min	1.17365919010417
10 min	1.246058116169
10 min	1.22199076382841
10 min	1.1935481106306
10 min	1.25251167344975
10 min	1.23369528087706
10 min	1.16998636113891
10 min	1.19707265720732
10 min	1.18490445065198
10 min	1.22424167468014
10 min	1.20165466944392
10 min	1.20305054798309
10 min	1.2233318667522
10 min	1.22062483034221
10 min	1.1931209730921
10 min	1.13022688579949
10 min	1.22928060718569
10 min	1.16149418915166
10 min	1.18243185093064
10 min	1.15902437986842
10 min	1.18629390199694
10 min	1.18054149487786
10 min	1.27803631572427
10 min	1.24964220685846
10 min	1.24806744624795
10 min	1.22230919373604
10 min	1.21402297495302
10 min	1.19239368472985
10 min	1.17360296078816
10 min	1.27560124899435
10 min	1.1548059855183
10 min	1.18251858872072
10 min	1.17101618345999
10 min	1.18549094757291
10 min	1.17928204831646
10 min	1.16947337991445
10 min	1.22007574163806
10 min	1.08933353872336
15 min	1.27859115668662
15 min	1.39595383893576
15 min	
15 min	1.27044848261585
15 min	1.24366621269263
15 min	1.24019192089643
15 min	1.23130524349268
15 min	1.24084159861604
15 min	1.22454712422181
15 min	1.18930001007913
15 min	1.22545913049602
15 min	1.16806297890155
15 min	1.18227344078561
15 min	1.2043105133796
15 min	1.20862458093263
15 min	1.15149355315128
15 min	1.22921799761193
15 min	1.24216099874901
15 min	1.25423682704783
15 min	1.20921752631715
15 min	1.21353214140677
15 min	1.24222926580958
15 min	1.20775332853318
15 min	1.23243808346442
15 min	1.18001350461947
15 min	1.22661288692997
15 min	1.26208957634309
15 min	1.18658873969016
15 min	1.21360107841956
15 min	1.17174606645836
15 min	1.23592203805776
15 min	1.22229919008032
15 min	1.24026891242626
15 min	1.2012552594305
15 min	1.19246865803783
15 min	1.2128087554375
15 min	1.26589316227065
15 min	1.21299443011362
15 min	1.26057688728284
15 min	1.16101372078455
15 min	1.22573425154447
15 min	1.17971361372991
15 min	1.23348101538041
15 min	1.22421456298652
15 min	1.24149691796794
15 min	1.2414898932696
15 min	1.21257065314201
15 min	1.1152847313982
15 min	1.21879904440856
15 min	1.20080176898177
15 min	1.26910938085516
15 min	1.21684238361103
15 min	1.29606239480319
15 min	1.20316415105528
15 min	1.22292215657379
15 min	1.2003146399378
15 min	1.26152523442782
15 min	1.25801063968254
15 min	1.26085943756991
15 min	
15 min	1.21556268339917
15 min	1.16830602966647
15 min	1.21693074544947
15 min	1.21486922151059
15 min	1.34710542412499
15 min	1.20262491903043
15 min	1.2303507586965
15 min	1.23138444919744
15 min	1.27112550853997
15 min	1.24960476449303
15 min	1.1951474373315
15 min	1.24464666229561
15 min	1.17121148656775
15 min	1.24682587458676
15 min	1.2295366002351
15 min	1.22072970268897
15 min	1.28250212316914
15 min	1.23793710769001
15 min	1.22871068538727
15 min	1.22378906292193
15 min	1.26616953699588
15 min	1.25644021648915
15 min	1.18896259043841
15 min	1.18365297569658
15 min	1.24454591208334
15 min	1.24982540291988
15 min	1.17137843898802
15 min	1.25944590046018
15 min	1.20951983929423
15 min	1.1963932054916
15 min	1.21398263237505
15 min	1.22979143225372
15 min	1.21392421913255
15 min	1.19936300309765
15 min	1.24844637262702
15 min	1.19884613271405
15 min	1.23837144073237
15 min	1.21740011303853
15 min	1.23416673974436
15 min	1.22364114052511
15 min	1.22312358584061
15 min	1.21732198580707
15 min	1.24422818987047
15 min	1.23977524596502
15 min	1.22901955895181
15 min	1.23976407343334
15 min	1.25363030728745
15 min	1.25615375392145
15 min	1.2333643350417
15 min	1.23606614361437
15 min	1.23784711697305
15 min	1.25328423177774
15 min	1.25445112508168
15 min	1.20584120944457
15 min	1.24949197342334
15 min	1.17322340008297
15 min	1.26451809295675
15 min	1.21524302282094
15 min	
15 min	1.23775982817272
15 min	1.22821310984844
15 min	1.2677351125813
15 min	1.22619664726366
15 min	1.20055154266626
15 min	1.22214984423157
15 min	1.24533285973559
15 min	1.23141504623344
15 min	1.21998407121842
15 min	1.2114436077629
15 min	1.20414193873914
15 min	1.26815567174145
15 min	1.20735572025425
15 min	
15 min	1.23211418770115
15 min	1.20458547226325
15 min	1.24154551714632
15 min	1.19001236095379
15 min	1.1945619247641
15 min	1.22294273067235
15 min	1.23580080728945
15 min	1.25385701398164
15 min	1.2520271415766
15 min	1.21565397293832
15 min	1.21701584748295
15 min	1.21370593662515
15 min	1.23875916410839
15 min	1.17674616023436
15 min	1.24089144647759
15 min	1.19209845746874
15 min	1.21613006361824
15 min	1.21662754219892
15 min	1.20208934658948
15 min	1.21315485944347
15 min	1.33715559686842
15 min	1.2206051282874
15 min	1.2490439095955
15 min	1.25472948362394
15 min	1.23967960603074
15 min	1.19258127589692
15 min	1.23209462834183
15 min	1.28889636589645
15 min	1.21468885083751
15 min	1.20562364640512
15 min	1.24367267468252
15 min	1.23825411357711
15 min	1.21201737962718
15 min	1.19497556920488
15 min	1.21771551722437
15 min	1.28965003869378
15 min	1.18120771163921
15 min	1.2186789603331
15 min	1.20700924763083
15 min	1.26665481381529
15 min	1.26563541449377
15 min	1.26667439681585
15 min	1.24419061624586
15 min	1.21597907181986
15 min	1.2647681746109
15 min	1.24831285586797
15 min	1.25641339946367
15 min	1.24178135480058
15 min	1.23883386681359
15 min	1.22904659824567
15 min	1.24208303281302
15 min	1.22323135327859
15 min	1.19496244735601
15 min	1.23023386211955
15 min	1.1956290294287
15 min	1.26588883205911
15 min	1.24577379382989
15 min	1.17545978051138
15 min	1.25257618195724
15 min	1.26991892042504
15 min	1.21499939121891
15 min	1.19270962801377
15 min	1.25575682818503
15 min	1.12876714113527
15 min	1.21464932464378
15 min	1.25100577912693
15 min	1.17310856524715
15 min	1.22196697372374
15 min	1.13281396604782
15 min	1.28991116491624
15 min	1.19641627713214
15 min	1.19549006261546
15 min	1.20902455177635
15 min	1.24112019782747
15 min	1.21246793498391
15 min	1.22948981232418
15 min	1.26518542068333
15 min	1.23860832188768
15 min	1.27337552356504
15 min	1.26945411547514
15 min	1.23001357398127
15 min	1.19953178470489
15 min	1.24222023844562
15 min	1.19692796204197
15 min	1.21195860976998
15 min	1.20163572597292
15 min	1.23242169233966
15 min	1.24363339054228
15 min	1.14123418173777
15 min	1.21128014144187
15 min	1.25303391565782
15 min	1.12579519666698
15 min	1.18744210793435
15 min	1.20046846889592
15 min	1.2191222265663
15 min	1.17939201003711
15 min	1.22393547013117
15 min	1.24177553314081
15 min	1.2416840562823
15 min	1.30833891724413
15 min	1.25355826770941
15 min	1.21907629762002
15 min	1.29342954999398
15 min	1.2316511601672
15 min	1.17780036098265
15 min	1.22288654891695
15 min	1.24235485271685
15 min	1.20606792453224
15 min	1.2030651854032
15 min	1.20113613122795
15 min	1.19355612265067
15 min	1.25789423640594
15 min	1.18471231404693
15 min	1.27311595192495
15 min	1.2362776526411
15 min	1.23971606221184
15 min	1.30136024679526
15 min	1.25801927412081
15 min	1.24899490173873
15 min	1.24434350606775
15 min	1.22790222507631
15 min	1.21324291588385
15 min	1.24100824964564
15 min	1.2321625206143
15 min	1.22737945276611
15 min	1.24657549880766
15 min	1.21099654784142
15 min	1.23132991168864
15 min	1.2155557703337
15 min	1.20352442982779
15 min	1.20726791479391
15 min	1.21923898998785
15 min	1.25403549250374
15 min	1.21805029552524
15 min	1.18523574050615
15 min	1.21146970747006
15 min	1.20522306171372
15 min	1.2282570343356
15 min	1.17218508477918
15 min	1.08782127959359
15 min	1.23132581967974
15 min	1.16428063678496
15 min	1.19978861159894
15 min	1.23209038704348
15 min	1.28893625058568
15 min	1.24720471652595
15 min	1.23115696335552
15 min	1.25093817957841
15 min	1.21800238891787
15 min	1.27123144831958
15 min	1.23547666620814
15 min	1.18677711897998
15 min	1.24944641931817
15 min	1.24732373571598
15 min	1.19537847849657
15 min	1.27467147611498
15 min	1.2384155631277
15 min	1.22653304223261
15 min	1.30173861143682
15 min	1.24459790752508
15 min	1.25181312085186
15 min	1.25801718908408
15 min	1.23383227747354
15 min	1.21323287052548
15 min	1.22048767229341
15 min	1.16648903318761
15 min	1.28183671299025
15 min	1.20938142620545
15 min	1.16003867847392
15 min	1.20170501729733
15 min	1.20935768054439
15 min	1.2521517768011
15 min	
15 min	1.21657435011431
15 min	1.20468487762014
15 min	1.2106374748319
15 min	1.19406827326686
15 min	1.21927831167906
15 min	1.18115965215326
15 min	1.23357694084652
15 min	1.26905549445343
15 min	1.23532623298335
15 min	1.17528419119125
15 min	1.25537380821289
15 min	1.14142274598674
15 min	1.24616342591406
15 min	1.22991377650034
15 min	1.23180427434513
15 min	1.21768525122107
15 min	1.17760186129893
15 min	1.24786359242647
15 min	1.15057031322014
15 min	1.23481284739227
15 min	1.23690991601313
15 min	1.20050208661326
15 min	1.21595160336706
15 min	1.22972980093021
15 min	1.2745057481969
15 min	1.2493380122045
15 min	1.19741771036748
15 min	1.19784194550867
15 min	1.24096096616918
15 min	1.26107536179865
15 min	1.17052206045364
15 min	1.18880889849944
15 min	1.18762238787178
15 min	1.23302503858211
15 min	1.22557237156863
15 min	1.18536925108935
15 min	1.20993896692026
15 min	1.22043260369189
15 min	1.27490765033375
15 min	1.24640621999021
15 min	1.15779267396915
15 min	1.20414616295156
15 min	1.19747696990344
15 min	1.18396378685006
15 min	1.23973062673754
15 min	1.20150333925481
15 min	1.22292779620251
15 min	1.2230860827526
15 min	1.22737403178272
15 min	1.16371256139389
15 min	1.21004227817592
15 min	1.23708474924929
15 min	1.24642560222177
15 min	1.1992121073343
15 min	1.17924016522544
15 min	1.15768086589589
15 min	1.16325179558805
15 min	1.24237973054008
15 min	1.26224653452016
15 min	1.23697870850389
15 min	1.25959799365066
15 min	1.22000134357206
15 min	1.24258863219198
15 min	1.23734056166822
15 min	1.24681362086867
15 min	1.47293104898374
15 min	1.23958953271096
15 min	1.25203705372858
15 min	1.24562569373338
15 min	1.2564800170967
15 min	1.21611589527586
15 min	1.21049466213189
15 min	1.23157426757581
15 min	1.21680004822315
15 min	1.19781930472024
15 min	1.25349056164326
15 min	1.28794184749553
15 min	1.22855545008167
15 min	1.23138492327258
15 min	1.21547705757177
15 min	1.17109098788698
15 min	1.19474312886272
15 min	1.25776529443167
15 min	1.20482324311202
15 min	1.24280990036669
15 min	1.27684759929654
15 min	1.28688687929193
15 min	1.18421452000295
15 min	1.21996427792012
15 min	1.2691797653851
15 min	1.29052617507633
15 min	1.18672927197081
15 min	1.22622801273071
15 min	1.2321175539341
15 min	1.22566405521082
15 min	1.25654092615467
15 min	1.24715085166773
15 min	1.22260304860308
15 min	1.19766197339673
15 min	1.22881246843832
15 min	1.24229825807966
15 min	1.19890168370522
15 min	1.24797259117608
15 min	1.16784274652077
15 min	1.19987266261504
15 min	1.19988461781888
15 min	1.22039663210048
15 min	1.21318254060795
15 min	1.22721202747864
15 min	1.24067709030071
15 min	1.24640308568914
15 min	1.23958262969798
15 min	1.19335446827152
15 min	1.21696360475731
15 min	1.20881325549943
15 min	1.21748318727022
15 min	1.28165974824051
15 min	1.15873789395897
15 min	1.23388269968811
15 min	1.19966020904248
15 min	1.21669108166905
15 min	1.23700198117295
15 min	1.20862787002694
15 min	1.22895923588179
15 min	1.20119240478387
15 min	1.15528058585843
15 min	1.19785981541717
15 min	1.22778337378968
15 min	1.2196610660446
15 min	1.19556696334453
15 min	1.22006644671487
15 min	1.26008425368534
15 min	1.19855442586777
15 min	1.24894131108172
15 min	1.20261794033341
15 min	1.13687812820997
