Chr	ABOrientation
1	0.948649607111496
1	0.940857719347114
1	0.998443854689901
1	0.990993563830735
1	0.922951321304052
1	0.976151632974369
1	0.980086496814793
1	0.99720672097196
1	0.929310285624906
1	0.954123791389237
1	0.997178692105176
1	0.996652077770186
1	0.982483941641966
1	0.973887835732652
1	0.993404082970455
1	0.949548771365512
1	0.972953162389581
1	0.988329207846925
1	0.905744630252902
1	0.956975083590335
1	0.928102135373197
1	0.964616944018979
1	0.968932734225282
1	0.992517437805032
1	0.995805986061566
1	0.980190907482937
1	0.99640177297862
1	0.989531267190326
1	0.971213484152764
1	0.990120536679933
1	0.995648600089923
1	0.999296924207581
1	0.988134308897953
1	0.996542838738259
1	0.967838153847043
1	0.970578015087529
1	0.995463612455039
1	0.990481774890766
1	0.980668170307375
1	0.988534179602442
1	0.976971930937338
1	0.981646300344194
1	0.989263290883868
1	0.997058303240276
1	0.991241776330311
1	0.995365302375154
1	0.961046403935905
1	0.998084071012441
1	0.969239696724391
1	0.93436121857706
1	0.968821706943583
1	0.993478868493382
1	0.998367544226204
1	0.986822895748804
1	0.954584265802218
1	0.991218525005526
1	0.972819019270815
1	0.954112696378699
1	0.988245109011943
1	0.99141228696165
1	0.9576704099658
1	0.997241844026427
1	0.997076580832869
1	0.998286071863699
1	0.987864319135395
1	0.993732901315897
1	0.985927546939781
1	0.915329737925225
1	0.989136242453612
1	0.948597758517135
1	0.988950434676347
1	0.97167389102395
1	0.994430645545518
1	0.961333900518453
1	0.951030387302047
1	0.976740105537079
1	0.993427123466957
1	0.979739020591747
1	0.998128475720801
1	0.980140947790698
1	0.999768359085651
1	0.972893538894331
1	0.995702141333832
1	0.997543267975894
1	0.950253159090586
1	0.997390656994217
1	0.99292168783698
1	0.993475104980069
1	0.999859606564078
1	0.974527694860304
1	0.997334446740819
1	0.992955702727006
1	0.981809085612975
1	0.987909490456023
1	0.964038791655794
1	0.994276160894478
1	0.988040234373437
1	0.981719636918306
1	0.976289069152433
1	0.988192616704426
1	0.967300987228636
1	0.998614585208427
1	0.973950380928639
1	0.976428004730534
1	0.991740745910379
1	0.979396566171166
1	0.985266238847179
1	0.996748467473063
1	0.993423458928357
1	0.993244034150132
1	0.960254741830669
1	0.958430165286111
1	0.966759792969552
1	0.987343825111339
1	0.939486537445783
1	0.989057167849552
1	0.997794202452963
1	0.99718486127431
1	0.997512994566287
1	0.963906926632761
1	0.992681106597522
1	0.976612539912053
1	0.989699800264748
1	0.996311576034411
1	0.98631039143052
1	0.944104042378364
1	0.994676944086628
1	0.892777196085217
1	0.977997198851734
1	0.989894372294835
1	0.982254710333331
1	0.999471569409077
1	0.998401090567327
1	0.960858470256383
1	0.992864750602246
1	0.99123768562707
1	0.991817874880017
1	0.985856682612203
1	0.936854537352348
1	0.969064558296237
1	0.993213289946913
1	0.985525873323351
1	0.96291894342049
1	0.975781533991205
1	0.961786178013296
1	0.985867734134826
1	0.982934488473443
1	0.961099931509759
1	0.969999802086603
1	0.962828060513114
1	0.998730960817204
1	0.968497743659928
1	0.976710011551486
1	0.989981753514519
1	0.99708294865385
